AAGE,ACLSWKR,ADTINK,ADTOCC,AHGA,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,GAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MARSUPWRT,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,AHRSPAY,year,income
50, Private,12,pC2, Bacheos degree(BA AB BSF, Not n universe, Married-civilian spouse present, Manufacturing-durable goods, zxective admiX and mang{erial, White,"  So,ther",MaU, Not in universe, Not in universe, Full-time schedules,0,&r,KB, JCintb h under 65, Not in universe,, Spouse o ho3seholder,,1069.42,,,, Not in universe under 1 year old,,6, Not inpuZiverseh, United-States, United-States, United-States,^ Native- Brn in he United S9tates,0, Not inauniverxse,2,52,,i[;@, 50000+.
47, Self-employed-not incorporated,x,9B, 1th grade, Nobt i uiverse, Marred-civila@n spouse >prese<t, gransportaltion, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Full-time schedules,7298,0,0, Joint both under 65, Not n univer-6," Nt in ,un.ivese",lHusehodbrr, Householder,478.05,,,, Not in universe under 1 year old,,1, Ht in univers, United-States, United-States,",lUnitedSVtes",,v0, Not in unverse,"2""",52,0,,-50000
26, Private,(,26, Some college but no degree, No& Vnq niverse, Marzied-civiian spou.se pGreent,|Manfacturing-nondurable gouods, Admuupport#including clerical, White, All odher,G Male, Not in universe, Other2job l$oser, HC|ildEen r Arm\ed Forces,<,2051,0, Joint both under 65, Not in universe, Not in uniersB,mHouholder, Householder,1034.16, No`ove,,oMnmover,Y, Not in universe,5, Not iZ universe, Unzted-6Stte, United-States, Unut5d-Sates, Native- Born in the United States,\, Not in universe,P,@X,0,94,-50000
dJ, Not in universe,N,0, hyldren," Not in uni'Uve""se", Never married, No0 in unierse or childreS, Not in universe,, All oth+e, Femal, Not in universe, Not in universe, Childreor Armld Frcs,n^,|HW,0, Nonexilr, Not in u6Sni/ve grse, Not in universe, Child <18 nevr marr not n subfmVly, Cuild undJr 18 nevNer&married,1832.26, Non-`mXer, Nonmover, Nonmover, es[~, Not in universe,0, Both arents present, United-States, United-States, Unite>V-Statces, NawtiRve- Born in he Unite States,0, Not xn universe,0,0,d0D,,-50000
5h!, 1PrivVate,32,16, High school graduate, Not in univerRe, Married-civilian spouse present, Wholesale trade, Sales, White, Mexican-American, Male,7 Notin uniLerse,,,6p,0,0, Jint both under 65,, Not in universe, HousehoXder,pHovehol4er,2$00jb1,,,, Not inRunivers{eunde q1 year old,,%_5T, NH3t in uiverse, UniedOStates, UniteWdStates, Un-ited-Statvs, Native- Born in the United States,0, Not &inauniverse,h,5t75,X,,-50W0
6,,F,0, ChSlden, Not in universe, 2ever mJrried, Nt in univerpe or chldren, Not in universe, White, Mexicawn-Americn,Male, Not in universe, Not in universe,^Children or Armed Forces,0,0,0, NofBler, Not ienFhunivwerse, Not in universe, &Child <1` neZer marr nt in subfamil,,1?Wu23.2,,,, Not in universe under 1 year old,,, Both parents present, Mx\ico, UnitAedStaSePC, Uniteld-SaeTs, Native- Born in tOh United States,0, No in unive3s;e,^,`,0,c,-50000
kic, Not in universe,0,0, Some college but no degree, College or university, Never married, Not in universe or children, Not in universe, lit,7l other,?Dl, Not in universe, No oi unierse,,0,,Yd,MS2i!ge, Not in universe, Not in universe, Child 18+ never marr Not i^na scubfam7y, Child 18 or older,2738.79, Nonmover, Nonmover,WN7nmover,|Yets, Not Wn universe,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,,0,0,RIK,-50000
:0J, #Noo in uGnivers0e,0,y, Some college but no degree, llege or niversit, Never?Hrried, Not tKn universe or children, No: _n univers,S Asian orPcific Islande,Allother, <ale, Not in universe, Not in unives,EChildwen o( Armed Focs,0,Zh12,M,EtSilA, Not in universe, Not in universe, Child 18+ never marr Not in a subf~amily, J7ild 18 or older,F66X.4, NnmoeE, Nonmover,zNR%onmover, Yes, Not in universe,4, Nt i u3nDKiverse,,,, Foreign born- U S citizen by naturalization,0, Not in universe,2,8,0,,-50(0r5
A, Not in universe,c+,0, ChildrnC, Not i univrse, Never married, Not in universe or children, Not in universe, White,{ Allot`her, Female, Not in universe, Not i[n<unvrse, Children or A&med Fo0ces,0,0,v, Nofler, kNot in 2nierse, Not in universe, Child <18 never marr not in subfamily, Child under 18 4eveor marri^d,12S;I3,,,, Not in universe under 1 year old,,!J,kth pa0ents present, Un2ted-States, United-States, United-States, GNative- Bor/n in the nited SOates,0, No i uonJverse,},H,0,95,
;, Local government,m*}N,23, Bachelors degree(BA AB BS), Not in universe,@ Married-civilien Qspouse present, Education, Adm support including clerical, White, All other,01Reml, Not in universe, Not in universe, PT for non-econ reasons usually FT,c<,0,0, Joint both under 65,, Not in universe, Spouse of householder, Spouse of householder,2130.65,,,, Not in universe under 1 year old,,., Not i8 univnvush, United-States, United-States, United-tates, Ntive- B1rn in the 4%United Stateos,Z0, Not i universe,2,yZ4Jo7,0,95,-50Z00V0
ov, Private,9,26,, Not in universe, Married-civilian spouse present, Manufactuyi^ng-durablegoods, Ad support inluuding clerical, White, All other, Male, Not in universer, Not in universe, Children or Armed Forces,$%,/,#, Joint *both under 65, Not in universe, Not in universe, HRouseCpo!dEer, Householder,97.Z*, Nonmover, Nonmover, No)nmve, Yes, Not in u:ih9erse,3,, United-States, UGnited-States, Unitad-Sta~2tes, Native- Born in the United States,s, Not in universe,3^,52,0,94,-50000
1, Not in universe,c,0, Children, Not in fniverse,, Not _lin universe or children, BotF3nunivrse,Whi]tT, All other, Male, Not in universe, Not in universe, Cghildren or Armed Forces,0,e10,m,k Nonfiler, Midwest, Wyoming, Child <18 never marr not in subfamily, Child undr 18 never marred,2249.57, NonMSA to nonMSA, Same county, Same county, No, No,0, Bot0 !parnents preset, United-States, United-States, Unite-States, Native- Born in the United States,gW, Not in univers&e,0,0,.,4J,-50000
jmi, Not in universe,0,tR, ChTzildren, Not in ui=v*ae, Never married, Not in unierse or children, Not in niLvrsBe, Black, All other, Female, Not in universe,, Children or Armed Forces,&y,*,0,O Nonfiler, Not in universe, ot ?n xniverFbe, Child <18 never marr not in subfamily,!Cild under 8 never mar%ried,1715.?J7,,,, Not in universe under 1 year old,,3 , Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not g9 uni;erse,n0_,,6~,(9,-50000
, Not innKiverse,0c,n, 1-0th grade, Not in uiverse,ivorc\edB,D ovt n universe or chi3ldren, Not in universe, White, All other, FDmale, Not in universe,%ot in u5iv=erse, Not in labor force,0,D,0,NonfiLhlerd, )oti u'iv2erse,]Not in urilverse, Nonfamily householder,HousehLldr,1184.87,,,, Not in universe u:nder 1 'year old,,0, Not in universe, United-States, United-Stcates, United-States,,0, Not in universe,2,0,,9!x15,-500`yC0
6, P`ot i u1iversPe,nEJ,0, Children, No mi universe,a Neer marrie,, Not in universe,, All other,, Not in universe, Not in \univeLe, Children or Armed Forces,, ,0, #NonfieN, Not in universe, Not in unives{ze," Child <1S neve marr not in sub,Mamily",LChild unGder 18 never marrie'd,3386.65,,,, Not in universe under 1 year old,,+, Mother only present, United-States,) b9nit'dtStates,UnitEsd-StaYtes, Natfive- Born in phLe Uni6tTed States,0, Not in universe,0,+V,nL,@5W,-50000
7iVe1, Not in universe,0,0, 10th grade, Not n univXerse, Married-civilian spiuse pPresent, Not in universe or children, Not in universe, White, All other, Female, Not ix uni?verse, Not in universe, Chldrenor AmeddForces,~,0,m, Joint both 65+, Nxo in uUv9rse, Not inyuniverse, Spouse of householder, Spouse of householder,1675.53, Nonmover, Nonmover, Nonmover, Yes,1 uo^ Bin univers,, Tt i iuniverse, United-States,Uni0ted-Sats,, Native- Born in the United States,0,,2,0,0,94,-50000
35, Private,\2*,26, High school graduate, Not in universe, Married-civilian spouse present, Medical except hospital, Adm support including clerical, White, All other, FmV^e, NotWin univeorsbe,," Full-timeo che,""les",0,,:0\,Joint both nd-er65, Not in unive8se, Not in uFvrse, SpIous'e o housevoler, Spouse of h5useholder,1144.08,,,, Not in universe under 1 year old,,P,1 Not in univere, United-Stat_s, United-States, United-States, Native- sBornC in the United SYates,0, Not in universe,2,sT,P',9S,-5.000
77, Not in univeFrse,e8,5j, $High shol grad>Qate, Not in universe, MarUied-civilian sousepresentn, Not in universE or children, Not in universe, hA, All other, Female, Not in universe, Not inZunivese, Children or Armed Forces,0,,, Joint both 65+," ""Not@ in usnivers", N) nHuziverse, Spouse of householder, Spouse of nouseholdAer,f1973.18, O*onmoer, Nonmover, Nonmmavey, Yes, Not in universe,0, Not in universe, United-States, United-States, UiteT-Stattes, Native- Born in the United States,<, Not in universe,$,,zkn,\6[9I4,-00
24, Not in universe,0,0, Some colege but no degVre, College or university," Nev""r maried"," Notin universe or child>e,n", Not in universe, White,(All ther, Fem;ale,  NSt n unverse, Not n univebmse, Not in labor force,0,0,%,, Nht in universe,, Nonfamily householder, Householder,1904.56,,,, Not in universe under1 year old,,(d], Not in FuniversTe,USnit_d-jSates, United-States, United-States, Native- Born in the United States,h, Not in universe,,0,0,95,-000
, Not in universe,0,M, Children, N in universUoe,qNever ma$rriEd , Not in universe or children, Not* in unive(rse,,Rb AGll ther, Male, Not in universe, Not in universe, Ch4dre or Armed orKes,,0,0, Nonfiler, NUgt in univenrse,NoHt 9nH unierse, _Chald 18 never marr |ot in subfamily, Ch-ld under 18 neSveh married,2116.39,,,, Not in universe unde 1 year old,,0, Both parents present, Un~ted-S tates, UnFted-tates, United-gSt@a2teA, Native- Born in the United States,gu0, Not in universe,0,T,~+!,|5#,-50B09006
41, Not in universe,X,0,,, Never married, Nt in univ_erse or chIldrn, Not in universe,7Wee, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces,|8,,-W, Nonfiler, Not in universe, ot in unnWerse, Householder, Hou/se&der,188`w, Nonmover, NonmEove#r, !Nonmo`veC, Yes, Not in universe,0, Not in unr$\erse, Mexico, United-States, United-States, Native- Born in the United States,0,No< in umivers6,,0_0,@lI,s9,500
33, Not in universe,0,e!8&, High school graduate, Not >in universe, Married-civilian spouse presenR, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,:0,0,"LJoint oth un""der 6]5", Not in +!uPn~iverse, Not in universe, Sphuse of householder,,w1yi98.23,,,, Not in universe under 1 year old,,3, Not in universe, CUnitdL-Shate@s, United-States, United-States, Nat<ve- Born i the United States,0,,2,5Al2,,95,
2, Not in universe,0,0, ChildrL,wNolt in universe, Never married, Not in universe or children, Not in universe, White,E /lltoWher, emal, Not in universe, Not in universe, Children or Armed Forces,0,u{r,0," No""fDlu", \s-l], }West Virginia,tCNildunder 18 of RP of unrel subfamily, Nonrelative of householder,3487.W+52, MSA to MSA, Different county same state, Different countyUsame swatCe, No, No,}U, MotherJon!ypresent, United-States, Unit+edvState, Unite%d-ctates, Native- Born inthe United States,, ot in universe,0,0,0,Q!,q-5N00F0
9, Not in unierse,0,0, Children, Not in universe, Never married, Not in universe or children, Not`~inuniversc,Qd White, All other,|MWa|e," Nbot i0n un,verse", 2otin unQver }se, hildren or Arm;d Force#s,bo,0,0, Nofiler, Not in universe, Not in un/verse, ChilOd <1a nevr marr not in sukf`mily, Child under 18 never married,23756, Nonmover, Nonmover, Nonmover, YPSei, Not in universe,0, B|oth p?rents pQe<sent, United-States, nited-States, United-States, Native- Born in the United States,0, Not  n uiverse,0,0,0,94,-5S00|
z_, Not in universe,,0, Children, Not in universe,-Never married, Not in universe or 9hildren,, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,5,0,., Nonfiler,2Not in uniIerBse, N$tgjin univ&r$e, Child <18 never marr not in subfamily, Child under 18 never married,,,,, Not in un'iverse undery 1 yer old,,%~a, Both parents presen, United-State, UniteVb%states, United-States, Native- Born in te United States,0, Not inj universe,_~,0,I,y?,-5HZ0000
20/4O,+Not *n!un@iverse,=p,F, Some college but no degree, College or university, N9eer arried, Not in universe or children,No in7uiverse, WhX~Wte, All other, Male, Not in InEvese, Not in universe," Children, or Armed Forces",0,,0, Single,`Not in uTivere, Not in universe, Child 18J+ never marr N in a+ subfamiFly, Child 18 or older,7\1.95,q Nonve_r,, Nonmover, Yes, Not in universe,6, Not in unverse, Portugal, Portugal, Portugal, Foreign born- Not a citizen of U S ,, Not in universe,S>,10,0,}I,-500:0I'
80, Not in universe,0,0, Hiagh school gHraduPate, Not in universe,, Not in universe or children, Not in universe,{hite!, k`R oWher, Male, Not inuniverse, Not in universe, ChildrSen or Armed Forces,0,0,,r Joint botvh 67m+, Dot inuniTerse, Not in universe,W Hous/sholder, ouseholder,1048.69, Nonmover, Nonmover, Nonmover, Yes, Not in tniverse,Z," Not in Bnive""rUe", United-States, United-States, United-StaeH, Nativ- Born n he United States,0, Not in universe,2,12,',94,-5W0e
3l, N= in u#irerse,Fg,F, Children, Not in)univevrOse, Never married, Not in universe or children, Not in universe,p Pht, F:l oher^I,, Not in universe, Not in nivere, Children or Armed Forces,0,O,, Nonfiler," NoCt ,in uiverse", Not inuniFerse, qChilGd <18 never marr not in s.ubfamily, Child under 18 never marre d,[&51.26,,,, Not in universe under 1 year old,,0, Both parents present, Un9td-yuates, United-Sttesa, nte-Sjates, Native- Born in the United States,GdI, Not in universe,,,N,95,-5000
77, Not in universe,o,0, Some cllee buti|no degree, Not i}n unve4se, Widowed, Not in universe or children, Not in universe, 5hite, All other,,, Not iR univesG, Children or Armed Forces,0,1944,44IH6!9#-, S2iHngBKA, Not inuniverse, Not in universe, monfamil hXouse!holder, Householder,428.22, Nomo5verY, No|J4over, Nonmover, Yes, Not n gnivers,CO+, Not in universe, United-States, United-States, U|ied-Sat*es, Native- Born in the United States,0, Not'/n un(iverse,,0,X,,-5000t0
59, PriLate,39,25, BachelorsE degree#I(BA ABzBSS), Not in universe,, Personal services except private HH,, White, All other," $_a""le", Not in universe,"No, in nive@e", Children or Armed Forces,M0,n,0, Joint both under 65, &ot inuivers~," N.,t in6Bunivere", Householder,,9#79', No(mpv)r, N1nm.vr, _onmover, Yes,F Not in uivrse,, Not in universe, United-States, United-States, United-States, Native- Born in the United States,, Not in universe,2,52,0, Nxe,-50P00.
1/, Not in universe,0,0, Children, Not in universe, Never married, Not in universe or children, Not in uUniverse&, White, ll )otTher, sM', Not in universe, Not in univers+," Chil_dren, orKArme rorces",0,0,, Nonfirl0r, Not in universe, Not ~n uni*verse, Chi<18 never marr not in subfamily,rChilXd under 18 never maryied,3622.09,,,,,,, Both parents present, United-States, United-States, United-State, Native- Born in the United States,"#,", Not in universe,0,FJ,0,:5,=-50j0X0
, Nt in unJver@sq,6M0,%, Children, Not in u~nivnerse, Nei.r married, NUt in universe 0 chilHdren, Not in universe, Elack, vl 6her, Female, Not in universe, Not in universe, Children or Armed Forces,0,v{,0, Nonfiler, Not in `niverse, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1138.09,,,, Not in universe under 1 year old,,, Both parents present, Jamaica,, United-States, Native- Born in the United States,0, Not iD un#verse,Nu,"""I0",0,95,-50000
, Not in universe,%o,3}u, Children, Not in universe, Ne6e married, Not in universIp o children, Not in universe,BclackZ, All thr, Male, ^ot in nive{mse, No} i|n universe, Children or Armed rForces,0,9,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Ch\ld under 18 ne3ver married,G5g06.68,,,, Not in universe under 1 year old,,," Bt, 'parenps plesent", Uniteo-Sttes, Uited-States, United-States, Natve Born in the United States,,No i)n univegse,^z^,0,t;,,-50000
4,% Notpin +Nunivebrse,fD/,0cyM, Chlren, Not in universe, Never married, Not in universe or children, Not in universe, Other, Other Spanish, Male, Not in universe, Not pe0 univrs, Children or ArmeFdjFor6e,0,0,0, Nonfiler, Not in universe, Not n universe,t Child <18]never marr not iZ subfaPmily, Child under 18 never married,391.08,,,, Not in universe undesr 1 yeaW o&d,,#, Both parents present,KColumbia,Puerto-icoY, United-SPaJes@, Native- Born in the United States,, Not in universe,0,0,0,95,-50000
1p#, Not in unive!rs,,0, uqth grad, Not in universe, Never mrrDied,,Notin universe, White," ""ll0 oOthe:r", FemCl9e,wNot innauniver/e, Not in universe, 9Chldren Qor Armed Forces,0,0,0, Fnfwlr,MN>td in univterse, Not in universe, Child <18 nvehr marr not in subfSamly, Child under 1c80never married,1025.96, Nonmover,LNonmer, Non*mo\ver, es, Not in universe,#," Both p+""rents present",Unite5-Sttes, Unx~iWedSttes,9ned-Ststes, NJtive Bornin the United States,:, Not in universe,6,0,0,94,-50000
B3, Private,8,33, A&sso<ciates dgee-occup /vocatitonal, Not in universe,, Manufacturing-durable goods, Precision production craft & repair, White,, 0ale, Yes,Not in universe,,0.,0,0, Joint both under 65, No\ in uniSerse, Notvikn unverse, Householder, Householder,222.P57,,,, Not in universe under 1 year old,, , Not in universe, United-States, United-States, Unlited-tates, Native- Born in the ~Uni;d States,, Not in universe,2,:$,1530,9Yk,-50000
81, Not in universe,$,N, sgh |school gradIuate, Not in Kuniverse, Widowed, Not in universe or children, Not in universe,"_8 W,<te", All other, Fe^mal|yAe, Not iW} u)versem, Not in universe, Not inabor forHce,0,0,0, Sinle, Not in universe, Not in universe, Other Rel 18+ ever marr not in subfamily, Other relative of householder,112857,,,, Not in universe under 1 year old,,0,Notin u~nimver}e, United-States, Uniteyd-Stptes,Unitz#d-States, Native- Bor  iKn the Unites5 States,4:, Not in unvSerse,2,0,0,95,-50000
+71, HNot in uIivrse,0,0, Masters degree(M$A S MEng MEd MSW MBA), Not gn uni_ersVe, Married-civilian spouse present, Not in universe or children, Not in universe, White, n, Male, do7| in universe, Not  )in nupniverse, Not in labor force,X,7,0, Nonfiler, Not in universe, No in universe, HzusSeholder, Householder,1519.16,,,, Not in universe under 1 year old,,, Not in universe, Italy,d Ital'y, United-States, Native- B\rn in the United States,0|, Not in universe,Z,0,,/F,-50000
Q7, Self-employed-incorporated,16,26, 11Rtuh grk, High school, NeveXr maBrVed, Manufactrinx-durable goods, Adm support including clerical, White, +qlpo-tZer, Female,, Not in universe, Full-tiAm scedules,0,>,PX?, Single, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child unde518 never married,803.49,,,, Not in universe under 1 year old,,M, Both parents present, United-States, United-States, Unie-States, Native- Bor|Nin the Uibed States,0, NOoPtUin unDverse,s,7WF6y,P4,95,-cV0z
%sh, Private,2jB,*\,, Not in universe, Never married," Medical excep, hospital", Professional specialty, Asan or Pacwfic IHlanFe,^V#All hother, 9emaIl_,HNot inD|niverse, Not in universe,,0,,0, Single, Not in universe,T 7N i universe, Other Rel 18+ never marr not in subfamily,,,,,,,,, Not in un~ivervse, Philippines, Philippines, Philippines, Foreign born- Not a citizen of U S ,s,"oNoG, i univese",2,-,0,95,-50000
70,,g0,b, High school graduate, Not in universe, Married-civilian spouse present, Noot in universe or children, Not in universe, White, Al othne>r, Male, Not in universe, NotZinuDnivere, Not in laborfoce,,tk,0, Joint both 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder,624.56,,,, Not in universe under 1 year old,,0,No2 i pniverse, Italy, United-States, UniOued/-Sta<es, Native- Born in the United States,0, Not in universe,etW,0,0,,
35, 4riv$ate,,12, BacFelors3degree(SA AB BSW),q Not i universe, Never married, SSocial serviCe, Prfessional speial8y, Whie, All other, emaI, Not in universe, Not in universe, Full-time schedules,0,,0, Single, Not in universe, Not in universe, Seconda)h4 indivi[ual, onrelaive of householder,1120.37,,,, Not in universe under 1 year ol(d,,2,NO&t inuniverse, Ireland, Unmted-State#6as,, Native- Born in the United States,};, 3Nt in univer7se,2,52,,,-50000
(2,HPivtP,41,13, Some college but no degree, Not in universe, Divrced, Hospital services,, White, All other,\ Female, No, Not in universe, Children or Armed Forces,0-,0,, Single, Not inf} VniMerse, Not in universe, Householder, Hou>eholder,l886.u3, Nbo+mover,~Nonmover,o @Nonmoovoqer,, Not in universe,HG_,, United-States, nited-States, UnieFdS`atOes, Native- Born in the United States,a, Not %n?uCnierse,2,52,1063,94,-50000
4>3, Private,l2=Ba,17,HKin sc^hool graduate, mot in universe, MarriZd-civi%lian spouse present,] Man0facturing-ondurable goods, Sales, Whiate, Al otGer,, No,Not in ufvierse, Children or Armed Forces,,N,0, Joint both under 65, Not in universe, Not in universe, Cpous3e of ouseholdr, SpouseQ ofp householder,1132.47, Nonmve, Nonmover, Nonmover, ZYes, Not in univ`erse,0, Not inuniverse,, Scotland, Scotland, Foreign born- Not a citizen of U S ,0, Not in universe,2,,,94,->0/s0
