AAGE,ACLSWKR,ADTINK,ADTOCC,AHGA,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,GAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MARSUPWRT,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,AHRSPAY,year,income
25, Local government,23,23, Bachelors degree(BA AB BS), Not in universe, Married-civilian spouse present, Education, Adm support including clerical, White, All other, Male, Not in universe, Not in universe, PT for non-econ reasons usually FT,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,2130.65, Nonmover, Same county, Same county, Not in universe under 1 year old, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, No,2,40,0,95,-50000
26, Private,9,26,High school graduate, Not in universe, Married-civilian spouse present,Manufacturing-durable goods,Adm support including clerical, White, All other, Male,No, Not in universe, Children or Armed Forces,0,0,1,Joint both under 65, Not in universe, Not in universe,Householder, Householder,97.00, Nonmover, Nonmover,Nonmover, Yes,Yes,3,Both parents present, United-States,United-States,United-States, Native- Born in the United States,0, Not in universe,0,52,0,94,-50000
1, Not in universe,01,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,00, Nonfiler, Midwest, Wyoming, Child <18 never marr not in subfamily, Child under 18 never married,2249.57, NonMSA to nonMSA, Same county, Same county, No, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,0000,94,-50000
30, Not in universe,0,1,High school graduate,High school, Never married,Not in universe or children,Not in universe, Black, All other, Female, Not in universe,New entrant, Children or Armed Forces,0,0,0,Nonfiler, Not in universe,California, Child <18 never marr not in subfamily,Child under 18 never married,1715.00,Nonmover,Not in universe,Not in universe, Not in universe under 1 year old,No,3, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0,No,0,2,6000,95,-50000
18, Not in universe,01,01, High school graduate, High school, Divorced, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Nonfamily householder, Householder,1184.87, Nonmover, Not in universe, Not in universe, Not in universe under 1 year old, Not in universe,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,0000,94,-50000
6, Not in universe,01,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, Other, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,3386.65, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, No,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,01,1000,95,-50000
10, Not in universe,0,0, 10th grade, High school, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,0, Joint both 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1675.53, Nonmover, Nonmover, Nonmover, Yes, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, No,2,0,0,94,-50000
35, Private,2,26, High school graduate, Not in universe, Married-civilian spouse present, Medical except hospital, Adm support including clerical, White, All other, Female, No, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Spouse of householder,1144.08, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,2,0,95,-50000
77, Not in universe,01,01, High school graduate, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,00, Joint both 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1973.18, Nonmover, Nonmover, Nonmover, Yes, Not in universe,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,0,94,-50000
24, Not in universe,0,0,Some college but no degree, College or university,Never married,Not in universe or children, Not in universe, White,All other,Female,No,Not in universe, Not in labor force,0,0,0,Single,Not in universe,Not in universe, Nonfamily householder, Householder,1904.56,Not in universe,Not in universe,Not in universe,Not in universe under 1 year old,Not in universe,0,Not in universe,United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,0,95,-50000
18, Not in universe,0,1, Children, High school, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Child under 18 never married, Child under 18 never married,2116.39, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, Not in universe,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,1,0,95,-50000
41, Not in universe,01,0,High school graduate,High school, Never married,Not in universe or children, Not in universe,Other, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe,Not in universe, Householder,Householder,188.00, Nonmover,Nonmover,Nonmover, Yes, Not in universe,0,Not in universe, Mexico, United-States, United-States, Native- Born in the United States,0,No,0,00,1000,94,50000+.
33, Not in universe,0,0, High school graduate, High school, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,198.23, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, No,3, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,2,5,0,95, 50000+.
2, Not in universe,0,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Single, Not in universe, West Virginia, Child under 18 of RP of unrel subfamily, Nonrelative of householder,3487.52, MSA to MSA, Different county same state, Not in universe, No, No,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,0,94, 50000+.
9, Not in universe,0,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, No, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child under 18 never marr not in subfamily, Child under 18 never married,23756, Nonmover, Nonmover, Nonmover, No, Not in universe,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,0,94,-50000
25, Not in universe,1,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,000.00, Not in universe, Not in universe, Not in universe, No, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, No,0,0,1,94,-50000
20, Not in universe,01,01, Some college but no degree, College or university, Never married, Not in universe or children, Not in universe, White, All other, Male, No, Not in universe, Not in labor force,0,0,0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older,1.95, Nonmover, Not in universe, Nonmover, Yes, Not in universe,6, Neither parent present, Portugal, Portugal, Portugal, Foreign born- Not a citizen of U S ,0, Not in universe,0,10,0,94,-50000
80, Not in universe,0,0,High school graduate, Not in universe,Never married, Not in universe or children, Not in universe,White,All other, Male,No, Not in universe,Not in labor force,0,0,0,Single,Not in universe, Not in universe,Householder,Householder,1048.69, Nonmover, Nonmover, Nonmover, Yes,No,0,Neither parent present, United-States, United-States,United-States,Native- Born in the United States,0, Not in universe,2,12,0,94,-50000
3,Not in universe,01,01, Children,Not in universe, Never married, Not in universe or children, Not in universe,Other,Other Spanish,Male, Not in universe,Not in universe, Children or Armed Forces,0,0,0, Nonfiler,Not in universe,Not in universe,Child under 18 never married,Child under 18 never married,051.26,Not in universe,Not in universe,Not in universe, Not in universe under 1 year old,Not in universe,0, Both parents present,United-States,United-States,United-States, Native- Born in the United States,0, Not in universe,0,0,0,95,-50000
77, Not in universe,01,0, Some college but no degree, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Male, No, Not in universe, Children or Armed Forces,0,1944,00000, Single, Not in universe, Not in universe, Householder, Householder,428.22, Nonmover, Nonmover, Nonmover, Yes, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,0,0,0000,94,-50000
59, Private,39,25, Bachelors degree(BA AB BS), Not in universe, Never married, Personal services except private HH, Other service, White, All other, Male, Not in universe, New entrant, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,000.00, Nonmover, Nonmover, Nonmover, Yes, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,0,95,-50000
01, Not in universe,0,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child under 18 never married, Child under 18 never married,3622.09, Not in universe, Not in universe, Not in universe, No, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,01,0,95,-50000
25,Private,12,10, Children,High school,Never married,Other professional services, Not in universe,Black,Other Spanish, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler,Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1138.09,Nonmover,Same county,Same county, Not in universe under 1 year old,No,0, Both parents present, Jamaica,Jamaica, United-States, Native- Born in the United States,0,No,0,10,0,95,-50000
30, Not in universe,1,3, Children, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, No, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,5000.00, Nonmover, Not in universe, Not in universe, Not in universe under 1 year old, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, No,0,0,5000,95,-50000
4,Not in universe,01,01,Children, Not in universe, Never married, Not in universe or children, Not in universe, Other, Other Spanish, Male, Not in universe,Not in universe,Children or Armed Forces,0,0,0, Nonfiler, Not in universe,Not in universe,Child under 18 of RP of unrel subfamily, Child under 18 never married,391.08,Not in universe,Not in universe,Not in universe,Not in universe under 1 year old,Not in universe,0, Both parents present,Columbia,Puerto-Rico,United-States, Native- Born in the United States,0, Not in universe,0,0,0,95,-50000
01, Not in universe,00,0, High school graduate, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,0, Head of household, Not in universe, Not in universe, Child under 18 never married, Child under 18 never married,1025.96, Nonmover, Nonmover, Nonmover, Yes, Not in universe,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,0,94,-50000
30, Private,8,33, Associates degree-occup /vocational, Not in universe, Never married, Manufacturing-durable goods, Precision production craft & repair, White, All other, Male, Yes, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,222.57, Nonmover, Nonmover, Nonmover, Not in universe under 1 year old, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,40,1530,95,-50000
81, Not in universe,00,00, High school graduate, High school, Widowed, Not in universe or children, Not in universe, White, All other, Female, No, Not in universe, Not in labor force,0,0,0, Single, Not in universe, Not in universe, Other Rel 18+ ever marr not in subfamily, Other relative of householder,112857.00, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, No,0, Neither parent present, United-States, United-States, United-States, Native- Born in the United States,0, No,2,0,0,95,-50000
71, Not in universe,0,0, Masters degree(MA MS MEng MEd MSW MBA), Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, NA, Male, No, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Householder, Householder,1519.16, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, Not in universe,0, Not in universe, Italy, Italy, United-States, Native- Born in the United States,0, Not in universe,0,0,0,95,-50000
07, Self-employed-incorporated,16,26, High school graduate, High school, Never married, Manufacturing-durable goods, Adm support including clerical, White, Other Spanish, Female, No, Not in universe, Full-time schedules,0,0,00, Single, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,803.49, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, No,0,07,004,95,-50000
25, Private,01,01,High school graduate, Not in universe, Never married,Medical except hospital, Professional specialty,Asian or Pacific Islander,All other,Male,No, Not in universe,Not in labor force,0,0,0, Single, Not in universe,California, Other Rel 18+ never marr not in subfamily,Householder,0000.00,Nonmover,Same county,Same county,Yes,No,0,Both parents present, Philippines, Philippines, Philippines, Foreign born- Not a citizen of U S ,0,No,2,40,0,95,-50000
70,Not in universe,01,01, High school graduate, Not in universe, Married-civilian spouse present,Not in universe or children, Not in universe, White,All other, Male, Not in universe,Not in universe,Not in labor force,0,0,0, Joint both 65+, Not in universe, Not in universe, Spouse of householder, Spouse of householder,624.56,Not in universe,Not in universe,Not in universe, Not in universe under 1 year old,Not in universe,0,Not in universe, Italy, United-States,Italy, Native- Born in the United States,0, Not in universe,0,0,0,94,50000+.
35,Private,12,12,Bachelors degree(BA AB BS),High school, Never married,Social services,Professional specialty,White, All other,Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe,Householder,Householder,1120.37,Not in universe,Not in universe,Not in universe,Not in universe under 1 year old,Not in universe,2,Not in universe, Ireland,Ireland,United-States, Native- Born in the United States,0,Not in universe,2,52,0,95,-50000
02, Not in universe,41,13, Some college but no degree, Not in universe, Divorced, Hospital services, Not in universe, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,0, Single, Not in universe, Not in universe, Householder, Householder,1886.03, Nonmover, Nonmover, Nonmover, No, Not in universe,0, Neither parent present, United-States, United-States, United-States, Native- Born in the United States,0, No,2,52,1063,94,-50000
04, Private,02,17,High school graduate,High school,Married-civilian spouse present,Manufacturing-nondurable goods, Sales,White,All other,Female, No,Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Not in universe,Householder,Spouse of householder,1132.47,Nonmover, Nonmover, Nonmover,Yes,No,0,Both parents present,Scotland, Scotland, Scotland, Foreign born- Not a citizen of U S ,0, Not in universe,2,00,0000,94,50000+.
34, Private,01,2, Masters degree(MA MS MEng MEd MSW MBA), College or university, Married-civilian spouse present, Entertainment, Executive admin and managerial, White, All other, Male, No, Not in universe, Not in labor force,0,0,01, Joint both under 65, Not in universe, Not in universe, Householder, Householder,334.91, Nonmover, Nonmover, Nonmover, No, Not in universe,1, Both parents present, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,0,52,0,94,-50000
6, Not in universe,01,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, No, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1672.45, Nonmover, Nonmover, Nonmover, No, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,0000,94,5000
2, Not in universe,01,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, No, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child under 18 never married, Child under 18 never married,0000.00, Nonmover, Nonmover, Nonmover, Yes, Not in universe,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, No,0,00,0,94,-50000
25,Private,01,01, Masters degree(MA MS MEng MEd MSW MBA),College or university, Married-civilian spouse present,Social services, Professional specialty, Asian or Pacific Islander,All other,Female,Yes, Not in universe, Full-time schedules,0,0,01,Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1254.43,Nonmover,Same county,Same county,Yes,No,0, Not in universe, Taiwan, Taiwan, Taiwan,Foreign born- U S citizen by naturalization,0, Not in universe,0,40,0,95,-50000
50, Not in universe,09,9, Masters degree(MA MS MEng MEd MSW MBA), College or university, Married-civilian spouse present, Education, Professional specialty, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Midwest, Not in universe, Spouse of householder, Spouse of householder,970.94, Nonmover, Nonmover, Nonmover, Yes, Not in universe,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,0000,94, 50000+.
6, Not in universe,0,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1155.55, Nonmover, Not in universe, Not in universe, Not in universe under 1 year old, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,0,95,-50000
95, Not in universe,01,01, High school graduate, High school, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,10, Head of household, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1462.51, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, Not in universe,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,0,0,0,95,-50000
40, Private,39,01, Associates degree-occup /vocational, Not in universe, Married-civilian spouse present, Personal services except private HH, Other service, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, South, North Dakota, Child 18+ spouse of subfamily RP, Child 18 or older,1319.18, NonMSA to MSA, Nonmover, Different county same state, No, No,1, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,01,1,94, 50000+.
40, Not in universe,00,00, Some college but no degree, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Nonfamily householder, Householder,470.88, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, Not in universe,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,2,0000,94,-50000
