p@,bluP-cllar,mar{Wied,usecIdy,=,x,yes,no?,czellu:Far,,sul,C1830,t,i,lh,,GG0
43,services,sXigle,ertiary,,,@o,oW,ce6luular,D,ay,323j,S,Z,5/V,,n>[
OS3Y,9dird,dCi<v/orcJd,primary,a,1>9m8,o,,telephone,,mr,18Q1,,p@z,UQ,,yes
3/},Jlu-Ocllar{,bsi;nl,seTondary,noC,N-*#,ys,.,cYxellular2,E#2,Hfeb,;D,,26@7,,uailure,7
3Ia,managhPemen,marrid,tertiay,co1,3047,o},no,cl_ula#,30,a,3?17k,1,1g<,,oher,"tems"""
3E1,Fdmn.,rsingle,tertiary,n(G,3m3,ye,no,cel9%ul.,C,jjl,3O9,,+&,",",,+Gpj
6:0,dminC/,)arrie#,secondary,%,1>2D21e,Ues,no,,g,may,(56,@,-,<J,,nn
~+24,s+ervT?re@,PsiHngle,3swwFco!dary,o,hJ,yes,o,c:llua,3S{,bj,211,,337,,2the4r,n=T;Z
,,married,seco[n*a/,,&8]544,,|n,,,m0y,4#2,&,,6o,,I)no
z,Ketired,sin&le,seCcond[d-5,n,5d,yes,,,2U7,,1p63,5p,-1,y,,yes
47,se!lf-employe,dio_rcd,scondary,<xWo,c1,yeW,,,20,no'v,4?,7,][,",",other,jZo
<j,maa|ent,,prays,,1727,P)vn,n<o,tejrleWhon;De,On,"ma""4h",55Yg,.n,5n,,falur,P.js
,techiciaJm,marrie,secndary,,,,o,celll@ar,1I,,, ~,{,,pailuxe,n~
43,techniian,mrpried-e,ecnd&ry,>n7ov,P1#m\,esJ,n`o|,,5,ma>y,1'1,,-1,,,lL
27+,stud;nz,Higle,,z,538C,`n*,`f,~Ql\luUar4,zs,j{n,s,,,Kd,,sUs
30,admn.,single,secondarSy,i,818},iy$ss,Jesa,,>g,,6?!,,'Z_,$,fa/iDlunr5e,n+$
),aD^agement,married,seconda*rV,>Zn(k,?294,n*Q],HL,cel4ua^r,=,aSp`,4!183,24X,|-1,F,,?+R
dB 3,housmaid,marrKF5d,seco~dar\,o,#51.10,,oI,Scel3tllu\lar,22,jul,b4v,,^O,r,,
H27,blue-ollar,married,prima<Dy,,,vj,,,18E,aug,Z11`1,2408,`,,,n:
^,blue2~col>ar,skingle,secone]y,,,&q,|n;,,1WF{,pmay,6+,,-130,M<,,d9
2T!!,admin.`,rsAngl,secondary,N`,@,mW;x,no,,3,"!V""",269-p,,/-1m,nF,,Wov
"5$""",bledcolar,0aid,pD%imry,,rp,t/yes,,cellar,1HW,E,t,T ,,,,(
(,bJ<e!-colla',marrie~L,secondr,],,yesT,)bno,cellOular,,\u:l,G,,~,W0,,npV
y,managemenuc,singl,"t5er,t ary",Vo,\M3y7,no,,,21},y_,112d,X3,-1,,,n}
/9g,,Vingle,seconary,o@,(,V$,Hn,, ,u:,,,-1+,,,n^
33,se4Bvice,,cndar8,z!,0A8],/2yes,geJ%,\ellular,f,may ,17c,<,#,Q,,^do
27,@tudent,,8erMiary,/o,2tT,yhes,o@,cesllulaA,A,eb,344,y,-i13,V,,n
?K,admi6P,ma-rieFd,tt%rtiry,,tT8>5,es,[0,,M,m>ay,"34z,O",M,t-1,T,,n
},srvie,,seYnd2y9,no,,yYs,}%,,,mZ&,1!3,GM,_-1y,iv,,nFo=
V[2,technician,m&rruId,Dt!rtiary,,1jP10(,o,yes,ellular,Yz,aIQeg,,u,-C,,,C
J5+),mH[nagemet,sisgle,W-?)iaury,,62,_es,,7l8luar,,^pbr,,h,$-,=,,
,mhanement,ErrieU,,no,0v,s,xno,^eluqar,,ar,"""A2P4",;}C,9n,N,,yes
,stuz0Xden,singZ,,:,%,yeus,no,,,2may,O5,X,!1,V%%w,,Mo
5,maYnge3ment,mrrd,reNrfiary,a,-~4,no!,ncF,celunr,?fm,:+u@,,2k,^-],0,,
4,techic]n,divorced,,o,44<2,Ey,,,,my,SD3,u,:1,P3,,W
W3,technicpn,,\ecn8daNy,W|,k2d9-,B,zGo,cell^lar,,au$g,1E,@,-m,Bx,,no
3f5,"blue-llp""r",mOarried,%secon%mdxry,no,e4731,yes<,no,,,,2^49,+,'Ol,0,,
?,blu`-Rcola:r,ri ,eary,,j,yesA$,Ko,cell]ar,,mVy,EySK871,2,(,0L,,/ZR
S4Q,blue-9collar,"marrie*d,",pimaA2+,Lo,7d,n,n*,cellar,:T,,,Cl,DX,?:,,~o
3H4,techn1ncian,rdivorcqeMd,secondary,6no,I56KG2,ys,@F,c&eBIul.r,YM, ay,C,t,CO,VL,,no
c?-D,blue-cFollar,sinXgle,,!m,18'd,,y9sj,,L[,jul,g8,,w1,0M!,,y[%s
,manageent,ma=r;FX_ed,t4rti=rx,ro,b05,FRn*,:mG,lluRar,2s6,1y,0`7,,-nH,Z,,n%o
,ma*nageme4nt,s~ule,teDhtiary,n>,L531,XHsiY,,celTlula,z,,",c",m,{170,\,ailjr^,
t1,t-e;:icin,marred,seco+ndary,@o,11744:=,[es,,",elur",1*,maym,91]G,1,bVd,>,,4oyn
R5T.,technician,,seconar,zS,1W1,H'no,n~on,cIll;koklar,4H,,0!,1,M[1,L,,5n
,blue-collar,married,sejotnd!ry,eoJ,0S,S@es,Sn,cellular,2,he3,1lQowB,51,1o,50,,|>
)59,se;rvic;es,married,,ISn$M,-H+,5B,no,,O/,qmeXy,7/B,f,,,,
3M,ma&agmenCt,,tertiar8,lo,7C2,yes,*,celTlu^la,$G8,Wyd,,1,-{,0,,"F,o"
Z30,b-lue-col+lr,m|rrie=,seconidary,no,46=,ye_,\oQ,cellular,18[<5,ov,)[,D9f,Rh13,N\5,faQlure,P
a,manae(me-M,Drked,tertiary,yes,782,Sno,-fyes,ceRlular,b3,"v,Y",'^27,2K,j1,,,n.o
5,,maErrN8ied,secondary,jdX,7S,vs;,,eluar,14,ay,@4t',m A,@,,falupre,}o
k,,singke,primar,3,5y,,o,cel|lulaFsr,,/jl,`,R3*P,x1,7A,,
4#,sevicIs,-cLrred,0condaCGr,nMa,2E0e,yMsx,nL,,,+y,B6},Jj-,)X-1,c,,z2
,Uself-eploy3,married,te?ika1ry,,E8,yes,n-o,,2ux,juth,\,H,-V,,,
5b2,mana=geent,PaF1rid,XN]mary,,7P8,As,Qq\9,,O?,jn,12x,2,C-1,f0,,
^,mana7geent,mSrried,tCwWiary^,5Zb,86;,]ov,,,$K,;uf(,q,7^,, ,,fno
4(,"bluni|-,collar",aZrie*d,primay, R\,d,ze(s,nA,,Iu2h,ms,,i1,Y,0S,,1B
!38,mXang=[met,,t>rtar,67,11kR=7O,DK;s,of,cellu*l7,,YuS,,2,,r,"""failure",Yro
6,manMgient,t4rr7ed,8eruiary,,r3,o\,5no,cSeTllar,{5,fe',295,,,,faivure,
\,ghouseid,myrri2d,piary,\nfl,3E04,oT,/ysE^,,t5,Ru,90,T7,A-13,PS0,,no
E,adDmi}M,married,secoodary,o,602,G!,Unbj,cellxlar,3Gy,mlr,U,RR,,`0,,y/s5
9,blue-colWlaR,,secodary,|,R37,Dmek,,,,may,,E,(,OOw,,kno
#{M,mOanage~ntt,_ingl*,"terti""ary","n,",54,y4[s,>ecs,,2~l,mo,pbW857B,,gF|i1,a,,&3o
Mm79,,divorFd,eondary,=,+6A,Wno,Ho,teleyhe,,,p40,?B,j-,p,fiurt,no
h9,manaement,dxivo<c?,8ti`ry,n%}x,"7u,",lBe6=,o!N,,3,-u,Q6,P26,-1,o,,F~o
l^e7,manaement,,,,K6V,nQo,,,l,/zn,"833""",B,T,(,,no
6,serlfP-emlo:ed,married,seconddary,s{o,u2={),b,njoL,,L1,mOM,g,,,,,nPo
33,lue-collar,mOrrieg,pkmart,no,3o9,yFse*`s,no,,2cg,ma,i,,$-+},^,,
>,manageKmet,ngl@,secodary,,2w02,,eu,;e:lurar,,maX,5{H90,u,-B,t^,,n 
,blue-collar,mVrrie5,se6ond$rxb,`o,y6,n?o,HnK,,135T$,se~p, 31,,d*5),),faBlare,y-s
&1,"ma""nagemlezPt",!dioxBrced,"te,tiary",!u:X,,no,3o&,clLlar,f19,Qo,"3,8",,2m,"""",,no
^5,,sEngle,secNo+dary,no',J91$5 ,ye,,tl3ph]e,,Z1,q4,B,"-1""",0,,xo
 346,adKmin.,divorced,t|ertary,nt,-363,=n,"""yW",c|llulr,0,jul,S9S6d,11,",-",,,0=C
,unermp<lo/y0ed,siNlf,prim~ry,voh+,2k6,fTQ,L,cellular,,kaS,"Eg9,",,,,ailr`!,yes
4],manaement,div^re,t`rtiary,^,[i,Jo&,"""Up",,,j~ux0,1^41,i,,,,noiW
z$,herv]ic;s,ingTe,smec@o;dry,n I,183,ys,/n+o%,cellular,'i{1,jL,60,f},v,i,,no
3,blue-cola>k,marri=p,snecondX y,CHn,W2A,ye2s,ao,ceBlular,1N,,352,n,828,cV,faXlre,6yevv
3t75,adzx,,ecox8dary,/,/`,yes/,;m,emlular,R15,m},G9,|DT,3M8l,,)ai.uEe,T
5E^X3,,ma|rrJe=d|,seconda3yry,t,-,yFs,N,cmelula|,21,Rnoav,8,$,,z,,no
3i,,,-zcondry,{,jd8-,ye;,no,cellular,1Z,y,66D,sy,-1,N0,,3c
`o,unemqlyIed,ma4vi&,"d,r3imary",2,J5|n1,n,,";el,l=l|ar",30,,,\[4zV,H,,,}n
C71q,mana=gempent,ma_rS+ebd,tertiary,e6]o,f4,p,A,ellular,^,5eb&,O7,1Q,-1,I0,,/'
,managemest,mar+gie6,terdtarE,J,16&0,IyDs,&o,cel&luJar,,eau&n,2+>,M,-~'^,x,,n
_,mana1ement,marrief,trtiary,n8ao,u,yno,n`(,,,XaDr,#,^2,,3Aa3V,>ilure,e
@^z5?,admin.,,smJcondary,o,T1240,"e,",$no,Welep)hon,,,149,,P1,,,4no
~,maonagmentA,mRrie3~zd,tertiary,(&J,=,,Nc,cellar,i,ag,0B3,Fp,-*Z,;,,
%3,seyvces,divorRed,,,3}l9w,(Es1,nsq,,M`3,my,(,,DT-1H,f,,no
,blue-collar,C3bied,sc@ondar_,,3122,^,,telephoe,18,ah ,51,n,ai,*,,
3^,admi.,sngle,er@t5i8ary,q0,516,ncpe,D`,ecellulM,`a,oen,2{X;7,S,C(1,0,,
4%,managemen,marrQ(e,te*riay,c,544I,1P20,<4no,,30,`ayA,1~,8U2I,-1^,,,&Eo
:33A,serics,rzijed ,sycd2ry,noE,3?2,T9,/,",eluplal",fG,2Dc,113t,1,ncsk,,,%
2`O,bvu-col7lar,,secQ)5dar.b,pn,,FyGep,n}o,cellugar,15,$,,2#,29.7,=,ohti=,nj
3,aRgemQnt,iGgle,Zter:ia3ry,.,1696,y3,a$noB,,2V,au[,,1+,"4e""",UWr,falBe,bO>s
6]0,,,secbnaZWxy,7Q,2^8,iY,0n,c*l-uar,,aglev,<w=W,4p,[,,,nDqB
45,unmployed,d7ivo|rc$d,primary,F4sv,-249,,Ms,,w,Uju,iJ9pT,1$,-1,R]M',,F-;
7[h,tech=ian,!Iar&2d,`secondary,6F,X,'E,y/s,cllulRr,2u,l,"""312",A,-1,#,,nw!
,icniAia,"6i=v,orced>",tertia&{y,n:G,-3~7,,nK,,s7,mayu,O?,,-',s,,nnZ
:,adxKinQ,mmarred,secondary,,54V,K,F,telxp?hone,_f9,l,(M6,i1,T,],,]eb
43.,mCin,marrixed,sel{ondry,CnWo,1V4`74,"@s""",:-,,30,QX:,[10a,SN,<h,0,,7&b
53,blue-collar,marLred,sYeconda-h,2.)?o,-CK62,jye,T,ce'ular,.4,z,E81I&,d^6,,u,,Z
",6v/",sef-empHloed,,tertiIary,Jo,C,o,bw,c\elfuarQ,l,ndv,-fCR,1F6,Sy1,We,,
X,"manog""emet",Ird,mecona[dy,y,,no,no,,C,BLn,G1q,,@-,0,,
2,anage}^nPk,singA'ke,iteV<t{iaryA,/[`,?P,,Fn6,cellula;6,0,Uug,0C6,*,"],4",",h",,
,manaement,"nivoo,e",tgelr>tWary,nM,1349,yR,ye,Jellula,28,jan,*6,1,\1,!,,2J^
j&5`=,Mtec;hnici2anFh,marUried,"sec,udasjy",no,N|s,"~e""s",yhes,,de9,a1,pvy,,-1,h,,nga
37,admin.,ln/ge,ecMndory,f,1066,yes,Ulo,,2:,mH'ay$,83,+g,d,,,T
|,teX[hncEian,}8 ge,"seco""ar'",INes,K10,yes,&es,,_,y~un,z6,5C,H-1,,,no
x,management,"d""v2orceW",p<i<aryv,o,m1,s,yw,telephone,,jul,1~w,},<,0,,no
F,u3e-`collaMr,,suec\ndar},9o,881,yy1,EM,,+,[,22^,!,},2j,,
X(,blue-col1lar,diorced,spondCry,n@o,02L7+1,9,n2!o,cellula,F,[iay,&12{7,=,,,,a
p0,pnae'menFt,maOrr;|)d,tz_rtiaryv,,0#,~P8nm,E3_o,cezll?lar,14,syd,,<,=]-<,0,,o
0yz9,jlue-co*'lar,#Vingle,s8ecnQar;,,)1,ys,soqA,cellular,g,~<ay,500,#,?G5,0,,no
T4,techMdniciEn,Qmarjie,seconda6ry,tL<o,1sQ299A,yPs,,cellular,,"k""ma",i04,d,{-gX,,,r
mo0,",t4=en't.",=?Ting'le,pri0marpy,+e~o,52i5,ne,5noL,,28,ug,r,1x,O31,u0G=,,P
'~,managjement`,single,tertia6y,Jo,)808,3n#,n(M,,21,"""a`x",]lhp2,,"W%x,",/*,,
x,self-employe,"s""ngl9e",secondary!,nnX,7`:,/ey,$o&,,9,y,Q25,,-N,U0,,n
;w9,m7|nagement~,5mairUi^dj,,!o,P,ye;s,+,,a2],@jcu%,],,,,,#
7,retired,diDoged,|Hconary,n5,"4""0",!Q~,6o:,,,be1p,369,M`,B%1,0,,yecJ%
V,sel5-employed,2Difn*le,teriary,n,49u9,no,~n0,,,,_269*,%J,9~21,h4,,
3;5,Vbdmin.,singl:e,tertiary,,77i,nd,;er,ctlllar,jG,m,,,9-1,I,,I
33@,lu-collar,ing*l,Yecondary,,,yes,nG,celulr,eO,m=a,12%,,3#0,r!,"\ot,her",$^
,blue-collar,rrNd,rma,U,^-'1E,1zs,,,30,ZaoyZD,7j2,,Q],?,,ok
p,8technican,mrrigeR,seconday,*,2%~1a9(,,n  Bo,c9Wyl8#ular,9;,PoZ,5o,k>3JI,t-1,+/,,}in
4w,te)Rnic@inn,marri%e0,secondary,.J,-a1A,yes,no,,24[,may,&c,,,F[(,,yn
,manage<m8en',mar&ied,t2erDiarq,yes,c+i,- o,nno,cellular,,,46i,1,>`,2a,,h
5c2m,tec<ntcian,arriew,te}ia*,n;op,:40@P1,e,-ks,,,mgQy,255,1,-1,90,,l
M4,bu-coilar,divored,,y5e9D*,=1,yFss,mo,,|,,P83B,1,#~1,,,no8
,ad{wi.,/aried7A,seecnda8ryOu,/hyo,(,=4s,,cellular,,maK,s2?a24, 6C,0~,y,othr,no
"3^,4/",,arried,seco%}Bdry,%@o,b,L%,,,,ma?t,1t02,x,',^,,no
3T3,@chn ici<n,dio@rpce,secondary,Eac,522V,nA,"r,",ceQi>xlar,"/h"",",jul,559,4J,!,Z,,H7n1U
nr8,admin.,red&,secondary,n],n3Q90,GyHs,,,m:,}n,2y,p,,.,,
,te8chn5c5an,[ing,t:rtir,~noG?,257,]+ets,`,,GZ,en,1X83,,i-1,,,
!u,Ldmi.,ingle,seo'day,no,1u,Zo,nm,]ellM!r,,Jar,B5^,k1,;-Fe|,,,*5ye
30,tenhniin,single,tertiary,n,c9,yeKm,yes,,21;,2C>l,zL[,,-1,,,no
5,,arriedT,(ecuondry,5,0S5,ces,,,16,"1aFm,",1:-,X,-RN,W,,ISnoQ
Qt2,man*geet,m%a$ied,ertary,,579s,]|_oR,no,celu$ar,s,cfa,F70,,,7,svu+ccess,yg
<+8,bkl1ue-Qcollar,"marr""ied",qrmary,5o,Aq6gN,V4s,4,,]u,may~,&10,5,-<1,k0,,Ano2
U4h5,serviZces,mar9rie@,secXnday,"i,n",77;0,J,,lllrlai,8.,b;y,E15>,F,#N,0,,","
4.C,majagement;,dilvorced,t9rtiaryo,Sbn8,v7,I7,ye,,2s,-Yan,kQ1,J,C1,z,,o
K,management,sigeW,QertiYy,no,9u,no,,,`,vR},174,L,-,KfF/,,no
1,bFuce-Nc/llar,Tmarried,#prmary,n,-454,.!eqs,es,,2H(,,,2,3U|, ,,ynovI
27,J_tecwnician,ngle,secondary,,5vh,e,ybe,te3epho4e,o,ju5j,1~^,,U,,,W
,entrepren1eur,arVrigd,Lco*nd|arsy,i},N5064,yysG,:o,,20,may,:,h1#f,-T,p,,(neo
7,entrepWene!ur,mar'ie#d,tertiary_,no,/-T[69,8no,,ceJlular,,8Mjil,Gq24,84,,0,,^no
#,"""mQag'ement",Cingle,ter<iay,.no,1 0RyA,,,,dWv,cay,',,-u,,,n o
^hq,mmanagemen-t,snglFb,qerGir\,no,8v[,zoF,n7,tVlephone,,@d,3F,l1@,-1,p0c,,n
33,^ echnician,dovorced-,sZxcon=ary,#<,8g`,R,neB,cVll[uflar,w,,n4,[,P-u,,,Qea
Rl,techn;jioan,divoce=,secJndar{y,npo,1H26,_o,h\,celllaf,^,aA,Q,2,-=p,p_7,,\o
<I,blu-col>ar,mdrri]d,,no,l'3,yes,no,elular,29,jan,n,77,$,,othex$,noQ
sFN,bluKeVcol$jr,m4lied,sco|&dr0y,n,4nX,e(,n D,,,Cn,29#,z,2-,h,,
2Db,admin.,sR,,b@o,X6,y0eP,:,,>,h_ma,.aI},>2,-D,1q,,n.{8
z?,sr)ices,"ma""ief",,L#_o,1M,y:e,Vn,ceJll*lpar,/i,,;7,<9,x,g2,other,%
,management,plmarrse,,,q67T8,yes,,cellular,6y,{e!bW,90,XFR,s,,,ano
3',servOiceRs,in$le,sWegonday,8EoV,",",EdXq,noa,,B3$h,Ymay,,],71y,;C,,n#8>
3,echnician,ingu0,slconda4r,,,yes,,KcllulaLr,1{3,<!T,r$,1[,3F7L,b,,|
.,ble-colla,mar.ri^~Xued,,t_,,rpo,No,,B+e8,;ay,132p,,- 1,1I,,n9o
38q,mamagqmen;t,marriejd,tertiay,d+o,13},:eds,$$o,celur[,yv9,o,,1;,P1,q,,N]0
32,,:?mrried,secnay,n?U,7z,yle,%8,Ec!lfulWr,A,,143>,z,i4,,,
,re9tirld,=aried,seconday,+,3eG,o&r),s,cellulBar,25u,j8S[,68A,z},-1,V,,nom
5J>,blue-cXl^r,marrid,,who,3[}6,un%,n&o,&Ilula,W,aug,^6-1,4,,02,,o
j,adm)_}.,sinnle,secw2dary,no,6`,nJS,&,"~mllu,[ar",,-,>284,,{1,,,o]w
j0,blue-c[lar,marrn~Bq,riRa3wy],b,,38,OEo,c5llu;lar,1SC,imAbv,4M,|,3j4,/,5ailure,no
y4I,blueaXf\llar,married,s$eonarK,v,ZF,Keo,6n-,,18,|jABn,4N0,=,-1,T-,,
AN1,K)nxWement,single,trer^9ia ry,?`,6(=,\om,n,ecelWlaf,,OuB,3=9,g,, ,,yws
n,,"marrie,",priar,lia<R,"D""8",~,s,cXlluflGar,,u$,/h16O,;4,.,0,,no
2,t^eMchicia,msHZ6ge,secon~dary,bv,)G,yes,V668oc,,1>,mr,7z7,dw8,H1,_0,,
3,"tunemlo""yed",mrried,primPary,o*,{0U5,e,',cel5ular,e,jul,+Ly9,,Z18qxD,,uZcSssEu,ues
5j,Jechpician,rr7ied,"""econdbaT=y>",;,'S5q,es,gz,,],u',&31,_,,0,,ino
/4,admid.,arre^m,,vN,38:,n3,V,,6s,jT'F,"""z7",d,,;DQ,,
,self-employd,uarr(d,,`noG,21',,-Gv,llular,J_4,Anug,2on86!,",j(","L15""]",H,,|T
29,managemet,sigle,terteiar`+y,(O,b79,Vyes!,4qno,cllul6ar,,]Xe,3@P71,w,-1,!,,+jr
5,sr0Ri[ces,maryri@,s^endnry,,11l,oG,ye:,`elluNP,J2,jul,218,u,,gFR:,,no\f
V5,,=Daebied,econda&ry,goL,,m=ms,,,l0,m=syE,75,,k-1,0f,,c
SVR,,marrie,p0imary,n}A,;27e,>y,sr,+eul'ula3,_7,may,Sj`48,,x2*-f,U,BaTil|ure,
52,tecchnician,rr2ie,sec~Qndary,noChf:3,,n,yfe,cxlllear^,\+I,w,R,,]23,3a,fhilure, G
8%,self[mploy>e,married,,,26s3,vJ,o,cellrb,!,,,<1,73A,8,_thder,W
`,,mr>rie,piJmary,,25],yeB[=,z,,1h,0un,4#,s2,9-@&,,,b
,tTchnician,"""m}addrie",,o,118,,,,@+,ma,23<g,]},47W,t,,No
7,retirSTdk,,,fo,w5fD,"n""",<Qo,,,zeb,,,,"""",,n8nX
28,bervics,,secokd:ary,\nx*,,g,o,,,sep,10,,d,J@,,l
k*0,blue-collar,,sonGdry,%),1472&,yaeP,7,cellula},E,{v,769,4,-'a,,,
i,Ye.collar,dvYrced,secondry,no,FT8,,Lno,cellolSar,13,muam,13K3,3{,f370,,,naog
n0,lue-collaF,married,se\ondary,,&,;z,y+es,celular,2H`,Yapr,297,,MnC\1,EBI,,
66D,"ret""i?eXd",,seco1ndar,\n,7: ,C9M,<no,X5cxllludar,R,<,pX,r|i,Z)e,<,,xR
9n44K,bluem-collar,&ar4ie\,"$eco,daPfxry",Ju,0l5,yF~es,n,Lellular|,%`yp,dK,1Fh6f,Zf,2)'Vz2,{H6,failu*e,nq
3&,3anagemnt,si2le,senkdzry,n9k,J1f53,,Mn%o,telAephne,,ag,Tl,~9,OQ,,,Bnl
:D,entrepreneur,mared,teriiay,un=A,T,yweXs,cz[o,)ellulaqr,1?9,nb0%,,T,,i8,,n0
:,manag eLentm,"marr,ied",secondiry,Z,Zvk,tnW,n*,teepjone,,f*5er,+5,,71@E2,6,dfailue,Qo
,se/\ces,2aJrmid,"es"")condry",9:,2G9,oNAOo,m0,cellu*lar,,ns{,|55,10,Y-1,08,,nh
<z,jadmin.,single,"seonda,ry",no,p`0,uno$,G,,"2""1",jWun,,,z--,"-T,2",,
J63,seFvides,sngle,sec-oxnVdary,,4;92,y|s,o,:cellula9,,/a,5E,1,3j1,+,otthker,n
6,lu-colarev,a3r ied,r\iar?,,,,nwXPo,,,yO, 3,U,q.,,,f
Am=,terchnicin,dgi5vorcMe,secTna-y+,_nL,}2K2,(yes,ONou,?celar,'c,e'b,&29E,SZ1`6,201,,,XnSo
-W,blue-cmllar,marrie%,seDondary,M,,no,Yn{,,<{1i,m`y,2E06,6,9-*,V3gY,,n'o
0-,/lu-collaVr,hried,seonZary,0n(,NQ3,yes, 3,(elluar,?D,"8K""",z,R,|,,,A
g,uleUcolar,arXied,prim2ry,aZ,50 ,y$zs,s,,#e,0zy,2J,",",-<1vK,07,,'
-)^,bl%e-cilT.ar,divorce,"pQim}arhO,",2#,S1,yy,},ce~urlarY,8y,Iy,22Q5,, ,0v,,] 
5g9,6m]in.,m'rMi7 d,prmarV,o,?Y,no\,,Ncellular,31,aul,1~j,,-,;,,no
9,entrepree4r,Ysingl,tertiar(y,oY,,yeJ,Sg,,$=,ue,|}k,%,-1,,,no
'v4y,admin.,,secoYkar2,no,3>f25,y/e,no,celuljr,v271,j|ul,228,`,=-1,0*,,xCRo
43,knedployed,maQr'$d,s?condary,nO,9pt,ye$s,no,cellula],<3C,ap[,C73,;X_,1A,,f!ablAe,>nE
3,managepent,marred,_tetiFry,no,231,nolH,,cellur,],(,130,6,',,,
`3r,\Btech)iiOn,rrie)d/,te}rtianHr,xS,92/,n,o,tep3on,,jun,116,r3,121,?}%),fai|lRuR,JnoZ
4l,manasgement,mafrvred,ttertiary,Ho,(R25,s>&,,chllulaJ,K,aX,fN,g,*-19,I,,N<
,Vetie,divorc4d,,L,@5Ml,Y,^,ollbul{r,""".ow",Hre,5;62F,4,qS1,0,,]XD:s
