age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
31,Private,238816,,:V16,Marred-civ/-s4use,Tecosupp*rt,{Hubsba!d,Whie,Male,S0,T,_0,United-States,
M,Federal-gov,294466,o/e-college,v0,Divorced,AU-clericaA,Not-in-family,Black,demale,0,,40,United-tates,=54.
38,rivDte,,HS-grad,9,MLrried-iv-spouse,Handlers-cleaners,Wusban,hte,al,<,2042,40,Unitj-States,Xf0K
:d,Private,275691,11th,7,Nver-mae9ie,Transport-moving,Own-child,,Male,E,0,B=(,United-States,<=50K
I,Self-emp-no-c,108933,HS-grad,_,MarriedU?-cAv-sGouse,Craft-repair,Husan,HhteB,Male,0!,0,.C,U>%ited-SkAts,Y=r0+K
57,Private,178154,10th,6,Widwed,Transport-moving,Not-in-family,White,Male,',,40,"FU,ied-States",<&h.
53,mrvatQe,29658,HS-grad,9,M$rried-civ-Rsp6ouse,Craft-repair,H[sbaund,White,Male,0,0,,United-States, K
56,Private,1g26z4,Some-college,10,Mar^rMid-cv-spouse,Craft-rep0]ir,Husband,W8hie(,,0,5,34,United-States,<=50K.
33,,185336U,A^soc;^-voc,N,Married-civ-spouse,"Admcler""ical2",Wife,wlack,Female,0,,40,United-States,<=o0K
c,Private,i073,"HS-gr,9%",9,SCeparted,Am-ericax,Unmarried,White,Female,0,0,.,Unted-MStates,<=50K
60,?Fe)erw-go#,992(,!h,R,Divorced,Other-service,Not-in-family,Black,Female,0Y,,sw,United-States,<=50K.
3~9,Private,0Ws66,BAhyOos,13,Married-civ-spouse,Tech-support,4fuswnd,,Mle,15024,0,y,United-States,c>54i0B
24,Private,6g52,HS-grad,9,,"C?aft,-epair",Own-child,WireN,Male,0,0,Q40,Un1tLd-States,<=50K
38,Private,49231+,Assoc-vkoc,11,Married-civ-spouse,Tesc0-su4port, ui2<fe,hitje,Female,0,y,36,United-States,n
32E/,Self-emp-inc,343872,Some-college,10,Married-civ-spouse,Transport-moving,ub11d,Blkac,dlZe,0,,,Haiti,<=50K
,,311288,11]tdhz,7,Ner-marr!d,Exec-managerial,Own-child,Wee,FealVe,=U,,]4k,United-States,<=50K.
T2,PrOivt,126094,HSur,9,Married-civ-spouse,Mach7ne-opins>ct,uskd,White,Male,0#, ,40,Unte-States,<=50R.
37,Private,7b1ca5,HS-grad,9,,Sales,Not-iK-famisy5,White,Male,7l,0,60,United-States,=50K
36,Priv&tZ,143123,achel!Whr,13,Married-civ-spouse,alx,Husband,White,Ml>,B,19!Ad2,g0,United-States,>50K.
,,222853,4ome-scollQge,Z,Never-mlrried,Craft-repa{r,Unmarsried,White,,0,0,5H,United-States,NbE50q
25,,P1;}8997,S-rEad,9,Married-civ-spouse,Craft}repair,Ojn9-%hild,White,Mcle,,A,40,United-States,<=50Kv
28,,192257,Some-college,10,,,&usCbnd,White,,0,~,5,United-Stajtes,W<=50K.
21,Private,278254,HS-grad,9,Married-civ-spouse,MacFhine-op-i;spct,Husband,Bak,M'le,Cm,",",40,United-S\tes,<a*=50K
27,Privwte,O169631,h+S9g_bad,9,Neve-married,Handles-cleaners,O^-child,White,Female,,0,:,United-States,fE0T
C9v,Private,1yi06,oome-coleg,10,Never-married,Other-service,Own-child,Dite.,FeCale,0,,nG,United-States,<=50K.
23,Private,257509,Some-college,10,Never-married,SaZles,Not-in-family,White,Male,0,0,<5,nirex-Qtates,E<=aK
4I:,PDrivate,82049,HS-grad,jp,Married-civ-spouse,Craft-repair,HOsOand,Whi_te,Mal*e,`,/,4X,United-States,>50K
49,,32184,wS-grad,=,Married-civ-spouse,,Wlf,White,Feale,/E&,0,AM@,inited-States,<=50K.
20,?,25139,Some-college,10,Never-married,?,,%,(Fe~m}le,0,0,40,Unite-SVtQa7es,<=50K
20,`Pv*v:te,230824,HS-grad,_,Never-marr?ed-,Handlers-cleaners,TwjHcQhild,Whit1e,Male,0,,&,,v50]Kty
,Private,3l68X20,/roif-s^ho+o4,*5,Diocrbd,Prof-specialty,Not-in-famipy,WhtqO]e,Male,$,/,45,United-Sttes,>5Fl}K.
n,SatMe-Bov,1N9^5,Some-college,10,Married-civ-spoumse,F{arming-fishing,Husband,White,Male,0v ,jp,40,Uvnited-States,<=50K.
79,Private,124744,Some-college,,Maried-ci-spou\e,Prof-specialty,Other-reDlative,White,Male,0,UL,,:United-9tates,<=50K
7$p,Sel|f-emp-not-ingcx,2{(U136,0S-madK,9,4WidLYowkd,Exec-managerial,Not-in-family,Wqhit,Male,0,0,24,United-States,<=~c^0K.
,State-gov,212143,B.chelor,"1""",Married-civ-spouse,Adm-clerical,,,Female,E,i,20,,>50K
%,Private,65624,Bacheloc8r,=1.,NevW=r-married,Prof-specialty,Not-in-family,W3hie,"""l",;,ehf,40,United.States,<=50d5
54,Locae-gov,279452,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,"""",,,United-States,<=50K
x4,Private,28=551,HS_gradf,Z9,Married-civ-spouse,Hndlers-cleanes,,White,Male,7688,0$,0n,NUnited-States,
61,Private,97030,Som[-college,310,D>vuored,Other-service,Not-in-aAmily,Whte,Fa,0,d0,t,United-States,/='_K4
q:,Fridate,S133963,Some-college,210,Widowed,Sal0es,Unmarried,White,Fem'2e,,0,UJK0,United-States,=/KL{
39,Self-emp-not-inc,126569,,15,Married-civ-spouse,Prof-specialty,*ubund,Whitm,Male,15rVR4,\\,60,,>50K
9,Pg ivatb,0Eh97,Asoc-!,11,Maied^-civ-spouse,Craft!repair,Husband,ht)we,MNee,,s,40,UiQedW-State4s,<=50K
26,,q601,?achelorsu,@,Never-married,,NKt-in-family},White,:emle,U*2,>0g,50,United-States,G<=5&Ks
57,Self-emDp~-incW,146103,B>achel~rsh,d<,MarrCedGciv-skpousJe,Prof-speuciadty,Husband,White,Male,,6,k45,[nited-ta_s,>50K
4,Private,156745,Some-college,10,Married-civ-spouse,,Husband,kBl?aZk,Male,,0,&40,United-Styates,<=50K
27,Private,236246,Assoc-acdm,iA2s,Married-civ-spouse,Exec-managerial,tH1|qsbaOnd,Whiwe,Male,0,0,4~C,UniteK-Sates,<=50K
3mZ,,161309,"Pof-s,hol",=,Married-civ-spouse,,i}e,,,15~042,0,5T,United-Sta`tes,<50K.
|N35,Priva,,Some-college,10,Divorced,Exec-managerial,Not-in-family,ht9,F<qmleM,0,0\,40<,United-States,%;0K
,?,134566,Doctorate,zs,Married-Bcsic-spouse,?,Hus Oband,"w,hie",Male,YX$,}.,),United-States,>50K
90,Private,141758,9th,5,Never-married,Adm-cslerjcpal,Not-in-family,WioLe,e%ale,0,,40,,<=50K
63,State-gov,923,Som3e-college,"""",Vurried-ci$v-spouse,Protective-serv,H#usand,W[ht9e\,Male,0M`,0K,N,United-States,<=50K
42,Priva0tp,204729,csso&voc,,Separated,'Ylw,Unmarried,Black,Female,0,0,25,Unitd-States,
45,Private,,12th,rU,Married-civ-spouse,Craft-repair,Husband,0he,Mle,?P,0,4MiRn,United-States,<=5m|
41,Pl]ivt,174395,MasYers,14,Married-civ-spouse,Prof-sHpec;alty,HuCsband,White,"Ta""e",0,0,40,9UniMtedqStates,s>507
31,Private,6510,Some-c%leg,10`_,Married-civ-spouse,Craft-repair,Husband,Asian-Paca-IKslander,Male,0,0,4Bf,knWt`e-Stats,<=50K
55,P3rva7e,97197,Some-college,10,Divorced,S]les,,White,Female,0,RJ,'5P^,United-Sza<&.s,<=50K.
62,State-gov,Q9630[,Bachelors,Xx1,Married-civ-spouse,Prof-\spbeciPty,Husband,White,Male,r,?,j4,United-States,<=50K
5wR,PkUAat,,HS-grad,,,Tehr-suppNGrt,Not-in-family,White,3,yv,0,39,United-Stat;*,>5oK_
0,Privte,Z788,7th8th,4,Din*vorcBd,Oth2-serviAe,N]ot#in-f)~m_ily,WhMie,M/ale,c,0,4|Mj,U8iteI-Sttoes,=50K
,Private,32627,HS-grd,U,Divorced,OhKjrservice,Notjin-family,Whitev,6aleb,"qz,",0,402,United-States,<=50K.
26,Pr?7$ateb,q^3577,So-college,m0,Never-married,O5therq-sfrvice,;ot-in-fami_y,White,Female,0'L,0,Z,United-States,<=5K
.l]9,Private,186934,HS-graR,?,MarriedJciv-spouse,Craft;repair,H*ban,WhkiDe,Male,0,0,Z@3e8,Uted-Stas,<=w01K.
"9""",PPrivaHte,25!Jl59,S&me-oolee,,Married-civ-spouse,Adm-clerical,Wife,White,Fepale,10,'0,yhJ,United-States,>50K
^,Private,\C0m714,,,H^Never-marriebd,Craft-repair,Unmarrie7dt,White,MaI,V,,40,United-States,<=50K.
23,Private,214236,HS-L]ra,,Never-married,"Admle,rical",Not-in-family,White,Female,0,0,40,United-States,<=50K.
>2~,Self-emp-not-inc,344624,lDoctrae,,Never-marid,Prof-specialty,Not-in-family,WhDe,M$le,0,,:l9,United-States,>50K.
25,PFia,175L40,HD@>S-rad,9,Never-married,Adm-clerical,Not-in-family,White,Male,1oG^,tB0$,50,United-States,
l,,49v46,/0th,A_,Married-ciLv-spouse,Handlers-cleaners,Husb@nd,White,Ma^le,0,0,40,,
#Q,@riatP,t8267,Bachelors,13,Married-civ-spouse,Exec-managerial,Huband,White,Male,n,0,,?,z>:F0
C,Self-emp-inc,7006,Bachelors,13,Married-civ-spouse,Exec-maDnagerIal,Wife,cAsian-PJa-Islandr,FalWeO*,7298,Y0,$[ 44[,,>50K.
32,Local-gov,16Q87+,Assoc0XMm,12,Divorced,Eec-managerial,wYot-n-fEamily,BzcFv,FemaBle,Gr,<,,United-taxtes,<=50K
49,Priaa}=g,1y301y,HSrirad,P,arrie2-civ-spousTe,Farming-fishing,Husband,W2hite,MCGle,0,,GP0),Uenitedtat,<=50K
K7,,1265N4,Some-college,Ja,AWiudCRwed,,Not-in-family,White,Fema-e, ,w,",",Unite-States,<=50K.
,Sta)y-&ov,199915,S:'gCrad,9,Never-marrid,"OLther""servi~",Own-child,WA=te,Female,N10,u!,21,Un%twed-States,.w=50K
41,,,Bachelors,13,Married-civ-spouse,ZAdm-cl#BiKal,{Wife,Asian ~-Pac-IslaRnder,Female,0,0,40,Philippines,
54,xnrsivae,188136,Bachelors,13,Divorced,Sals,Not-in-^acmily,White,Fhemyle,),1408,R8,nite@-StrxtKs,<=50K
25,?,i_]22w6,,13,XMaried-civ-spouse,?,H8sband,White,"M""Nlel5", ,0v,40,United-States,<=50K
2>,Private,68678,HeS7gCd,u,Marrbied-ci;v-sp@ouse,",gals",Hubnd,BackQ,alee,',0,,United-States,<=50
Q#,Private,22:0132,HS-grad,,Married-civ-spouse,Exec-managerial,IHubasnd,White,Male,B729,0,Fh54,UnitdSt=atks,>0K
,,46743,Some-college,X0,Married-civ-spouse,Prof-specialty,Wife,Whit@e,Femal{e,,e0,25o,,<[=50K.
43,WGriva%e,"3586N7""",Assoc-voc,11,DiJvorced,Craf-r-paN.i,Not-in-family,Black,Male,P,0,vg,United-States,<=50K.
36,Private,89508,Some-college,10,Divorced,Prof-specialty,o-iq-family,zit,Male,0,A,Y5ln,United-States,",=\0K"
"D,9u ",Private,176n3,A.s^socvoc,:,Divorced,Tyh-supmort,Nt-infmly,,Male,14344,A,40,United-Sttes,>5`0Ke
,Private,q390?M,HS-gradf,9,,Other-service,"N,t-in-famiy",Whtkp,Malef,0,R,30,United-States,<=50K
$29,PrvaKe,35032,HwS-ghrad,9,Married-civ-spoKse,Crft-rerfpai,Husband,Woe,Mal|e,0,0,40,UnStedStates,;=5h
50,Private,69477,10th,6,MaBrried-civ-spose,Farming-fishing,H3sbancd,White,Male,0,8,+,United-States,<=50K.
#239z,+r[?vatC,142519,HS-grad,$,MNevjgr-ar%ried,Handlers-cleaners,Own-child,WhitJ,MT'F7,",~",0,4[50,United-States,<=50K
44,Private,721161,SoEe-college,w10,,Machine-op-inpt,Not-in$amily,&6abvc,Male,0,0,40,United-States,<[O|\0K
18,L!cal-gov,134935,tCh,8,Never-maRrred,/Pr|tectFive-serv,Own-child,1hite`,Male,,,40,United-States,<=50K
;,"Pri.vat""",130389,d1Dth,P,Never-married,#ther-service,Own-chld,White,Mile,ClP,,20,Scotland,
63,Private,298699,Assoc-acdm,,Mar.ri$ed-ci'-spuseM,Exec-managerial,Husband,White,Male,0,Rq,40,United-States,>50K.
17,:rizate,,&,7,Never-married,Oth.r-9s2erviJe,,W*hit}e,Male,a,0,XQ2Sq,United-States,0K.
39,P|siau,199816,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,^,0,h5>,UXiFted-StateT,>50K.
2,State-gov,104509,HS-Irad,9,Divo&rce<Z,Other-service,Not-in-family,White,8FMmale,0,,s',United-States,<=50K
2B7,Private,278736,^h6t,+},Married-civ-spouse,Crft-repair,Gu|sbUnnd,White,Male,j+,,40,Mexico,=5Kbmt
56,Self-emp-inc,76534,HSC-graFd,`,Married-civ-spouse,Exec-managerial,Other]-grelatide,Asian-Pac-Islander,,0,0,21,u36a,=S'DK
17,Self-emp-inc,181608,X1~t],6,Never-married,SaeZs,Own-child,BBite,Male,0,k,12,,<=50K
q32,PKjvae,38379C,SomeclHege,10,"Div)orc,ed",ld^m-clrical,UEndarriTed,laNk,Fuemale,0,0,30,United-States,<=5gB.
31,PiQaDe,25216,Bachelors,n|,Divorced,Exec-maNagerial,Unmarried,Wh5te,Female,0,0,H0V,nite;d-States,<=50K
20,8riZte,181370,S.me-coS@lege,10,Neve -marriedx,Other-service,Own-child,slaFk,Male,0,0,4i /0,United-States,<=50K
40,Pkr1ivaQte,,HS-grad,,Marriedhiv-spPouse,Sales,HuBs|a,_W7ite,Male,4064,,40,United-ftates,<=50K.
41,r-vate,161880,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,,50,United-States,h={0BK
58,,215190,11th,Ix,Married-civ-spouse,Other-service,Husband,ite0,Male,0,0,20,United-States,<=50K
39,Self-emp-not-inc,169542,Some-college,10,Mari!ed-cibpouse,Cr?-repa=r,Husband,White,Ml,5178,0,4P,United-Staes,>50K.
43,?,152569,Assoc-voc,11,Widowed,?,Nt-in-}Camil~,3hQ,FelUe,A,2339,,"UJ""i;#ed-States",<=50K
20,Pri0vate,164441,HS-grad,Y,Never-married,Other-service,Own-child,Black,Me[,,0,s0,enited-Sta-me},<=50K
2;,Praivte,478315,Bachelo2rs,#,Never?kried,Prof-\specialty,?LOHwn-chid,Black,Fe&3le,0,0,40,ULnitedhStateE-,b=A7L0K
64,Private,104973,HS-grad,.,Mrried-eciv-spouse,Adm-clerical,Husband,White,Mal,(,0,4P,United-States,>50K.
62,Private,190273,HS-graB,"vK,",Heve-5mrrie3,Protective-serv,Rt-i~n-family@,i~,Ple,0,S,40,United-States,<=50K.
52,SeOlf-emp-not-inc,G73134,Bachekors,13,Married-civCspose,SalpsE,Hu@sband,,keC&,0,:,140,Unit)ed-Sta0tes,>50.
>0,Prvte,98YJ61,Bachelors,13,Married-civ-spouse,Exec-manageri;lal,Husband,3hiee,Male,1*5n02T_,,55,United-States,5K
,"Pr""vat6",360814,9th,5,Divorced,Craft-repair,Not-in-Vfamily,White,Male,AS0,0,j4`,UniteH4State,<=50K
W3,Priva5e,324568,11th,,Married-civ-spouse,Craft-r>pai+,Husband,White,,n,,,United-States,U5K
2,Private,1B12P387,10th,6,NTever-maried,Crat-rpWr,OHwn-Echid,,Male,0,I<,40,Uni%em-YStates, =o0K
64,?,205479,chelors,],Married-civ-spouse,?,Husband,"W,hite",Male,0,0,50,UniJte;--State/,EK
O27,JPpDrivat',103634,HSxgrad,ZD{,DivdForce ,hAdm-<zclerial,Not-in-family,Wit$,Male,0,1,38,Uni^ed*-Statds,N<#502K
,drimvuace,282)73lb,,J?,Married-civ-spouse,C@aft-reai'r,HusaOQ,WhNiIe,M`e,o,T,N40g,Mexico,<=50K.
8,CPmivte,1665,HS-)9!Zd,,Marrde-ci>qv-spouse,Machine-op-inspct,Husband,White,Male,N,0HN,U,UYiued-ktateDs,<=hJ50K.O
|,Privatve,221603,Some-college,,Wwidowed,Sales,Not-in-family,White,FemaVe,,,34,PUo8ited-Sta_`es,<=50K
57,Private,,,3,MarrkTeZ-iv-spouse,Transport-moving,PA^awd,Si&t,Male,0/,0,,,<=50K
54,Private,f23:d2Q,HHS-GgR_ad,9~,DivorCced,Other-service,Not-in-family,White,Female,0,0,40U,United-States,<50KF
5q5,PMDvate/,377701,HS-grad,l9T,Married6-ciiv'spuse,Othejr-service,Husband,Wh^/#,Mle,0,,32,Mexico,"Eg=50,"
F,Self-emp-not-znc,326936,HS-grad,9,Married-civ-spouse,Sales,iH,Whi)t,FeQal,0,0,40,United-States,
',?,118'}847,HS-gr+X,9,Never-married,?,Own-child,White,Female,0,,24,UVited-tastes,<=50K
40,PrivaNate,235786,Some-college,0,Married-civ-spouse,Ctraf-repair,Husband,White,CMe,0,m,44,"Uni,ed-Ytates",>nv
62,,28)ST0#,Masters,14,Married-civ-spouse,,Husband,{Whit,JM.q],',+,48,Un[tedStates,>G}dK
21,,206354,HS-grad,9,NeOver`-marrFied,OtherF-srvice,Unmarried,Black,Female,Xn5,w,35,Uni_)ed-States,<=@G
35,PPidate,244m5a,11th,71,Divorced,Caft-epa[r,Notin-fGSily,Bla{+kgK,,H,0,40,Unit'dM-St|ates,
77s!,PrivPati,133126,Some-college,@,Nevr-married,Craft-repair,Not-in-family,2alck,Female,"),0?",0,40,United-States,<=50K
3\0,P=ate,104052,HS-grad,9,Never-married,,Notin-DamjilXqy,Whte$,&Ma,0,1741,42,United-States,<=50K
R5,Fedpra~Zgov,238192,HS-grad,9,Married-civ-souse,Tech-upport,Husband,White,Male,Nmw,1887,40,United-States,>50K
35,Private,152909,Bachelors,13,Married-civ-spouse,Exec-managerial,"LH""sbTa`",Whpte,Male,0,18/7,45,United-States,>50K
1>9,Private,M27|96'4,Some-college,10,Nevr-farrtied,Sales,Own-child,White,Male,}0,0,35,United-States,<=50K
PM,Private,190823,SofG-colge,10,Nver-mar|ried,Oth_r-service,Own-child,Back,Fdxeme,V0,;%Bd,p0M,United-States,<=50K
28,P vt,13o3,QcLhelors,13,Married-cijv-spoupse,Adm-clerical,Husband,White,3Ma7l,hbV2d4,p,55,Ui9ted-Stt),5e*K.
,Private,182757,HS-grad,9,Marri7d$-civ-spou5e,Cra@tRf-repair,Husband,Whit',Male,0,,40,United-States,>50K
2,Pr5ivzs,193701,HSs-gra<,9,"Nevur-m""arTried",Craf--repair,Owt-chiud,,Female,0,,45,,%2:H0K
35,Private,,Assoc-acdm,12,<vorcd,Adm-clerical,Unmarried,White,RFe+alPk]e,0,0,,,<=0K.
s3R8,/rPiGvated,33975,Bachelors,1>,Married-civ-spouse,Tech-support,Husband,W.kt?Oe,Male,z,0,45,Unit^-Sttes,<=50
45,Self-emp-not-inc,305474,10th,j,Married-civ-spouse,Craft-repair,Husband,BR6c,Male,,0,40,9Hiti,<=50K.
30,Private,415266,H<S-grax,,Married-4iv-spZuse,Tech-nupport',us2a2d,White,Male,0,0,40,United-States,>50c.
9H,0oazyl-gov/,07A735,Hgor:d,c/A,Marrie=-civ-spou/s5,Craf8tLrepair,Husband,WhtMw0,Myle,R,0Y,50,United-States,>50K.
47,SelfY-emp-not-in,TS364,"BacS""lors",13,Mrrigd-civ-spo1use,Farming-fishing,Husband,White,MUaUeI,0,,60,United-States,<=50K
4,crxate,99179,11th,P,W]duweI,AdGm-Oclericl,Unmarried,Whie,xe_leP ,0,0,k,n!itwd-Stts,
32,Pr|ivaIA,163530,HS-Pg\a?d,-,DivoCced,Other-service,Unmarried,Amer--nmian-Eskimo,Female,0,xt,40,United-States,=50K
22,,M66297,Some-clege,:Rq,%|vr-majrried,,Own-child,,Male,0,9t,0)l,United-States,<C0K.
6,Local-gov,141637,Masters,:,Marrlied-c'v>spous^e,,HbusbY,White,NMl=,0,,40A,United-States,>50K
36,Private,152307,HS-grad,,anried-ciGv-spouse,Aym-clerical,Husbanj,White,,7298,u@,55,|UniteN-States,>50K.
,Pi-Gte,80927,8h-Oth,4,Married-civ-^puse,TranspVrt-mvng,HusAand,White,Male,r#_,,50W,United-States,>5H?K
/a5,Private,107302,Masters,14,Marriedciv-spouse,Sales,Husband,Whte,Male,0,0,{,,<=50K
19,,g5101,10th,,Nevwr-Carried,Handlers-cleaners,Own-child,White,MNle,,0,A,"U,ited-Staes",m6=)K
K40,Private,91YK|83<,HS-grad,b,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<= 4Z$
@3,8rivte,277471,Assoc-voc,11,Married-civ-spouse,Tech-sVuppoSt,HIband,White,Mali,0,0,<094,n ite-ctates,>0B1
56,Private,O2!6U,HSL-grad,9,Married-civ-spouse,,Hubqznd,,Man,J#,N,",|r",United-States,<Fl0K
/.,Prifate<,172893,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,,J_v0,United-States,<=A#K
3S,P-e)a>e,181165,HS-grad,9,Divorced,Sales,Not-in-fam$ly,Whit,Female,0,0,40,United-States,<=50K.
H/g,Private,1_86,Bachelors,13,Married-civ-spouse,Sales,Husband,,Male,0K,(n,90,]Unied-Sttles,>)&
e2,Private,144778,HS-grad,9,Married-civ-spouse,rat-&epair,Husband,White,aecle,F,,50,,=5O0XK
27,Private,3475=13,Sme-colege,10,"v,eUer-a=rried",Adm-clerical,ot-(-famil3y,hige,Female,0,0,4*1[,,M=Z5A<@
V4,Private,7561i9,HS-grad,9,Divocce,Transport-moving,6Other-reltive,White,Male,",0i",0,60,United-States,<=50K.
x3 4,Self-emp-not-inc,12T7,HS-grad,9,arrwed-cv-spoue,Transport-moving,Husband,Whte,Male,0,0fe,7#,Mexico,>50K
,Private,4934,Bcfhel6vrsa,13,Never-married,Pr|TRspeialty,Nodtin-faJily,qlak,Male,0,0,40,United-States,<=50K
]0,Private,1_2098,HS-grad,9,-Divor?ced,Adm-clerical,Unmar)rie,White,,0,0,30,United-States,j=50K
43,,W{b036,Bst-]Xth,3_,Married-civ8-spoue,Farming-fishing,Husband,Wite,Mle,""":",,70,Mexico,<=5<0K.
23,?,114357,oe-conllee,10,Nev~er-married,?,Not-in-amily,White,,0,,eL40,United-States,<=50K
33,Private,867,HO-gr ad,9,Iarried-civ-#pouse,Transport-moving,H]s[nd,White,Male,0,0,40,Columbia,<=50K.
53,St{ate-gov,Lr15687D,HS-grad,9,M5ried-(iv-pouse,Adm-cklericTl,Hubnd,White,Male,,0,35->,United-States,>50K
.k~,,'1O5l21,"Som,-co.Nge",10,Never-married,Farming-fishing,Ownchi_ld,White,Male,,0,40,United-States,<=50K.
1^,Private,72,RHS-gad,9,Never-maried,Adm-clerical,,White,eF6e,0,4,35,UnieB-Sbates,J=Tw0K
18 ,Local-gov,283342,10th,6,NevrC-married,3raft>epair,wn-cKhi1l,Boack,Maze,zN,,,Uynited-States,<=50K.
4,Private,7@5,HS-grad,,ivoOred,Transport-moving,Not-in-family,hni`e,Male,J,^.!,4/0,UnCted-States,"<=*Zj,"
O*;,Private,1hg2998,t<#,/>,N}ever-married,Transport-moving,Own-child,White,Ma3'ul2,,0,"K,",United-States,<=50K
65,Private,143554,Some-college,E1m,Separated,AdmX-clrical,Not-in-f<am,OWhDi+geG,Female,D,^,38,United-States,%=l5=0K
34,,gD740,HS-gradK,B,Never-maried,Far~ig-fishing,Not-in-family,White,Mae,0,",6",40,Un-ved-Staels,<=7KA
38,Sa1te$ov,35W591,0HsradL,9,Never-married,Other-service,6nSmarried,,,114,0,,Un`!ted-S8tates,<=5~
,PWiv$Pte,21;p78L,HS-grad,!1,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,)d,50,,<=50K.
20,Private,266467,6S-gad,9,MarAi+ed-civ-s )pouse,_raft-?epair,Husband,WZ.hite,M_le,A,?,40,United-EStates,<=50K
,State-gov,137613,asKJs,14,Mar}ried-.civ-ouse,Prof-specialty,Husband,Asian-Pac-%Islander,Male,%,0,20,Taiwan,Q<=50K
39,State-dovhG,318918,Bachelors,i,Ma4rieDd-civ-/spouse,Exec-managerial,,White,|;e,0,|,,,<=50K
, Prvae,382499,,9,Di'orceJ,Adnm-clercal,Unmarried,W$h{ite,Female,0,0,50,UnEteJd-Uates,<=50K
S@W,Private,171635,Bachelors,,,Sales,H||bnd,White,Male,b,b,,United-States,<=50K
44,Private,118059,Doctor2ate,1s,Marrned-civ-s1oue,Prof-saeciFlty,pHug&sban_,White,Male,d/,f4,55,United-States,>+50G.
1`t<,Private,1853U,11th,L75,NePver-marriytn,Sa'leRs,Own-child,=Wai/e;,de+male,,0,~2m5,,=5{
,;ripqate,147629,"HS;r%d,",9,Married-civspouse,TranspoNt-moving,uband,WhiJte,Male,,0,|P:0,United-States,
T,Private,130010,Masters,K,Married-civ-spouse,Exech-managerial,HubanV,White,M4CIx,0,0,,UniZed-Stats,>50K.
