AAGE,ACLSWKR,ADTINK,ADTOCC,AHGA,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,GAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MARSUPWRT,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,AHRSPAY,year,income
Ld," ~Privat""",w,y, Highcschool gr;uuate,,Dvorce, C)nstruction, Exzcutive admin and% managerial, Whaitx, All oeh2, Female,AN, Not iEn noverFse, Childretn or Armed Forces,=s,D%=0,(, He8d of houZhold, NoHt in unBiverse, Nt in univ!er|e, HousehldHr,GHuseholdk,, Nonmover, Nonmover, Nonmover, YeDs,,Y,," Unie""-Statee", UniztedataItes,"Gmzited-""States", NativS- BoRrn in the United States,S,N.tinauniv=erse,,W/2/,27t,ZG,900Z
"_,x",f PrFva3e,H34<,, Highxschoolgraduate,, Mari`d-#jvilian spuse present, Personal sevi6es e;ceptpRrivate HH, OthersUervice, Black,Ae;l oth,, Not in unvrse, Not in universe, Full-tim^ scedues,0,@,, oint botG under 5,, NCt ipxn universe, Spouse of householder, DSpouse of householer,101a.45,,,, Not in universe under 1 year old,,6, Not in univere, United-States, Un>ited-Sttes, United-States, Na1tive- Born n the United Stat@es,,d Notinniverse,,5!C2,>_9,=,v-5~0K0
$41, Pri>4at{e,7/,t, Bachelorsdegree(BA AB BS), Not in universe, Marriedci0vilian spouse preent, ManuOfacturing!d=uable g0ods," Pr,fessional specialty", Wh;ite, HAll other,,G NoQ, Not i+ univeVZe, ChildrebnLor Armed Forces,*,$3W!,5,kJ-oint both% under 65,," N, in universe",Householdser, HoTeAolder,'7hj2x.51,3 Nongover, Nomdo[-er,Nonmov#?n,RYes,,, NLot in universe$, Unite=d-States, nted-St1tes,$ Uited-Stats, Native- Born in the United States,, Not in unese,b,5C<,,R, w50d00+.
"9""", PriOv;e,_Mt,)*, 1st 2nd 3rd or 4th grade, Not in uivers,, Aagriculture,, C#ite,Mexican (Mexicano), Female, Not in universe, Jo loser -/ on layoff, U^empye fell-time,^,g,+=Q, Joint both undr 65, Not in Junivese, Not in universe, Spo*e of househlder, Spouse o househlde,~x70.1XX,,,, Not in Qunverrse under 1 year old,,y, Not in un51ivfsse, YBxi~o, 'exico, MeVico, Foreign born- Not a citizen of U S ,O,Not inAu|niverFe,|5,<,0(,^9pT5,-50000
PZ\,PrivatMD,\1O,t, Bahelors degree(BA AB BS,LNot i]n uni%verse, Married-civilian spouse presen,5 Manufacturing-durabledgoods, 9ecu_ive admn and manageril, .iKt, Al5ln other, Mle, Not 3in unigvers1, Not i|uni1ersn, Full-time SschedulesZ,,e,nc," Joint boK,h udDr 65", ot inuWivse,Not 1n uniyverse, Spou se f hoseh|lder, SOou1se owf houseMold6er,106.4g,,,,,,, Not in +niv[rse, Unted-Stdtss,,6 Unitgd-States,N\atiVve- BornBin the United4States,0,r N{Sot in universe,2,52,uV,#9F5, 5g0g0+
/d, Self-employed-not incorporated,5yj,s,G11h gzade,: Not 4in} unvers:e, Married>-civiian spouse presen, Tranportatio, Tansportaion and materical movin2o, White,G 'All other,b ?alK@,> 3oC in unive\Hrse,, FNull-time [chedules,>!298,0,,, Nnt i u*iverse,,HusehXolder,,p4788!5,,,, Not in universe under 1 Qea& ol,,, *Not in universe|, United-S^ate, UnUited-States, U1ited-States, Native-Born in the United Stat^s,/, No in unAvese,n,L2W,O4|,,-50000
2N,2Priate,,,,, Married-civilian sou)seQpresent, @Manufacturin-nondurable goos, Adm support inc}lding erical,-hite,All btherBA, a.W, Notin niverJse, Othe jog lMser, Children or Armed Forcfs,a70,2051,0,," Not in uni,verse", }otL universe,, @Ho+sehoBlde.,1034.16, NonmKve, onmove3, NonmoYer,%, Not n universe,,, Uited-Statles, United-States#, nited-Stgae*s, Native- Born in te United States,Q,sNo n univrPe,I,{,,94,-'000N0
,,,0x, qiHdren, No3t n unwverseC, Neer marRied,8 Not in univers5 or children,Nost in univers, WZhitte/, Ay ther, Femle, Not{n universe, Not in universe, CxhiJldreT or rmed Fores,,g$,0, @NoUnfyler, Not i7 universe, Not in uaTiverse, Child <18 neer marr not in subfamily, Child unSer 18 never married,1832I26, fN#onover, NnmveroD, Nonmover,< YDs, Not in uWiv6ers5,H, Btth parents pre~en, United-States,, Unite{dSta_es, NativeL- Borbn in the United States,F, XNot in uiverse,,0,!0G6,4,-a70
Je4,&Privat,32,")v,", Hig* schoow graduate,, Marrijd-civilian spouse prespnt, Wh:o esa*e rade,~ Sgles, hqie, MexicaSn-Amerian,_ ssl&,8 Not in ~uniMerse, Nt izn[ uHiverse, F@ll-time scheumles,0@,(0sI,!{q, Joint bo@th under 65, No in TunUivere,, House[.older, Houeholder,l005.13,,,,,,A>, o_ in unvrse, UiSted^-StatSg, Unte--States,, Native- Bo=rn in the Uniteld States,%Xy,n Not>Ln universe,,Q5:X,),W,r750&0200
6, ot n uiuvMrse,J,c],b Chilren, Not in uaiverse,, N`ot in Wniverse or children, N t n uniUv|erse, White, XMexican-American, Mal, Not inunifverse,Not 1#n universe, C.hildOren or Armed Forces,0aj,,xM, NYnflk*rr, ot in unier8e, Not ns uivers, Child <18never marr not in subfamily, Chld u der 18 never maqrried,123P.21,,,, Noit in universe under71 year <ld,,9\, Both parents present,eico, Unite-Stat2Us, Uenite5d-StJtes, Native- Bor~ in tAhe United States,s, Not in uivere,:=,,0Z,,-g0c000
,,E&,,=Some college Qutno deg4ee, _CRllege or universit, Never married,Not in univeEr;se0or c5hildren, NoMt`in univerae,, ll other,, NoRin universe,Not -n +unve_se, Chil#dren or Armed Forces,b,,'i,bSingl,NotB univers], No > uKiverse, Child 18+ never marr Not i=B a sUubfamily,,2738.79, Nonoper2, NNonm[ov^er, Nonxove1,{^I{e, Not in unliverse,j9, Not in qniverTybe, United-Stdates, United-Sta=tes,TuUnited-kSates,,#, Not in universe,*ro,L,0,9w,-500P070
i20,r Notd in uiver]se,m,, Some colege but no degree,ColljegFe or univeusitk, Nev+er married,,, Asian or Pacific IslaQder,qAllotBhKr, Mae, Not vin u)iverse,, Children or Armed Co*c!s,b,102,d,tMSi91gle, Not in univers,tV in universe, Child 18+ n^Iver -marr Not in  subfamily, Ch%ild 18 eor older,Z66., L67{over,WNonwmover,,Y, Not in universe,'c, Not n 7universe,,,, Foreign born- U S citizen by naturalization,(,", Nht in u&iverse",R@,d,LB(,9?6,
:," N,t inuniv%erse",f,X, Child?en, Not tn uyierse, evbe marraedJ, Not in univevs- or child?en, No;2t in uoni*eUse, White, Alv oth)er , Female, ot Qn niverse, Not in unive='rse,0Chldrn For ArmeB Forces,,#20+,Bf, NYnfilSeOr, ot in univergse, Not in universe, Child <18 never marr not in subfamily, Child under 18 5ever aarried,_e2J38.%3C5,,,, Not in universe under 1 year old,,"""30[",, Unitd-States, United-Sttes,`UnVited-Svtates, Naivoe- BorNn in the United -States,qi, No in ni'verse$,,!$e,0 ,o#,a50M00
"5""", dLocil gve8nment,E,23,, Nt inzuniCerse, Marriedcivilian spouse present,/Educa7tion, Admksupport inclujing clerical,Wi?e, All other, @eIma;, Not n universe, 4ot in universe, PT for non-econ reasons usually FT,C,,., Joint both u]der 65, Not inunivGN, Not in unverse, Spouse oQf householder, Spose of householder,230$.65,,,, Not in universe under 1 year old,,,INot in universe, Ani?{-States,yUBited-States,z U.Riot6ed-States, Native- Bor in the Unite Staaes,z, Not in univer|se,.Nk,,%,uc95,p-&50R0
p20, Private,,, High school gradWuate, Not in univWese,,, Adm suqport includNing clericalO, EWhRt^e, Allother,n aleI, Notd inur=iverse, Not nP7 universy, Chi@dren oxr Armed Forces,0#v,$P,, Joint both Yuonder 65, Not in universe, Not in universe,, Householder,0_57.04, Nonmover, NonmEver, Lonmover, Yes,,3.^, Notin uniXverse,"}Unie""-States",United-States,, Native- or> in th United States,0'Z,No|t 5inP unverse,:,jT,,A,50I00
CC, ot in universe,N,p, Children, Not in niverse, vcr 4aried, Not i0n 8iverse or[ children, Not in universUe, Ww#hite, All therf, Male, Not ihnuniveh?s, No i PunZveyrse,,x0,v%,p>y-, Nn}ir, Mid3st$, Wyoming, Child <18( never marr not in ubfaily, Chil under 18 never mrrid,2t9:O.5, NonMSA to nonMSA, Sa=e fou_nty, tame 4ounty, No, No,,wBoth parents present, UniOd-Stat5e , Unied-States, Uited-Staes, Native- Born in he Unit&ed States,V0, Nop inuniv8er^e,0,#mj,i,@,-5`000
,,,;,rCldWe5, o i yniv#rse, Never] arried, Not in univers gochildren,, Blac;, EAll ohe4, [FnmalR,Not oi niverose,, Children or Armed Forces,CI$,4,, No\nfQler, ;ot in uyierse, Nc(n u3niverse, Child <18 nev r mnrr not in subfamily, Child under 18 neer marriAed,5w1715.7,,,, Not in universe under 1year old,,j,pMothTer onlyprbmesent,, Uni/ted-Stat_s, United-%tates, Naive- Brn in thn United States,_X, Not i` uniierse,[,,aa,9?+_,-50000
+, Not imn uXiverse,,_), 1 thohrade, NYot in universe, D$ivkccedP, Not i universeto! chiXdren, NoAt in Lnivgrs, White,, {male, Not>n univr$e,\ Not in uDniverse, Not in labor force,F,P,=?, N&onfiVler, Not <n unive+se, o* in uBniverse,, House#older,1184.87,,,,No|8 in univ7erse under 1 year old,, , Not i6 niver(e, Un~ited-StatIes,,Unitebd-taRtes, ative- Bornin she Un7ited itates,0,_ Notinunierse,],Su,30,5HH,-500008
F[,"N3t qn un,vere",&i,0, Chidren, }Not i uWnqverse,Sever maJqieqd, NtVy ;n unive&rse or children, Not yn unaverse,J ohi{e,All other0,,, iNot i univeorse, Chilren orArmed Forcs,&0,mj,0,, ot inuivers$e, Not in uni)e4>rse, Child <18 never mrr not in subfami>y , Child undter18 Oever married,"""-386.",,,," ,Not i universe under 1 yeeraold",,, Mother oly present, LUnieI-tates, UnKted-Stat, UnNit-S]tFtes,* NativWe- Born Oi the United States,8, Not in universe,a,e0,(j,Z,50000
|7, Not in universe,-,, 1>0thgrad^e,)NoD in univer-se, MParried&-civilian spoCe preent, N|t i ouniverse =or chuldren, Not in ufnMersUe,PWhte, Ayl other,, Noti-n unirverse,,,{,j,vt,, Notin^ [niverse, Not in univers, Spouse of householder, Spouse of householder,j7H675.53,, Nonmover, Nonqoger,+..s,MNot inn univerKse,, No2tnX univere, U2nited-States, United-SO*ates,PUnitu-States, Native- Born in Ghe United States,, Not i unve[rse,2,j,+,94dw,-5#000
3d,iHPri=vate,*2,286,YXHih chool raduate, Not in universe, Maroied-civilian spouse present, Mdica7l excep hositTal, Adm support including clerical, White, All tIer, FcmalM, ot in uiverse,4Not Win univerm^, Full-tim chedkles,k0,,, Joint both<:unde>r 65, Not i)n uiverse, ot #n/zniverse, SpousX of householdEer,,1144.|E8,,,, Not in universe under 1 yeqar old,,+, Not 0[ Onve|se, United-Stats, |UKted-States, United-SateEs, Native Brn i the United Stat's,Mo, Not in univ|gese,f3y7,J,"Fz""",8,-z5000~
77,,+,O, High xchool3gra8duaAe, Npot in @nverse, MDarried-cIivili&an spouse resent, Not n universe or childre9, NFo8 /nunivrse, Wie,? Al oDhr, Femle, Not uin universe,, ChildrenY orAr{ed Forces,,,, Joint bot 5+, N[o(t in univ2erse,, Spouse o1f householder, 2pouse of househClder,q9C73.18[, NnAoez,'NonmQ)over,Nno|r, Yes,,j1,, United-States,] UniUed-States,, Nativ- Brn in mhe UnitMed States,-, Not in unive[se,a/,ja,UAo,0\,-500j0
24, Not qn-u`ivYGse,,F,8Some collee but no degree, College orniversiy, PNev maried,y Not in unliXverse or childgn,, White,"All o""t erM"," Femal,", Not in uXniiverse, Not in univPrse, Not inwaboOr fojce,,""" Q",<3,, Not i7univeose,YNot in uJive`se, Nonazmily^ househoader, Houseolder,104t,,,,,,S\,, C1niteZ-Sttes, Uni0ted-2States, United-States, Nti0e- Born in the U-nited States,"""", oi in universe,,Eo,z,w,-50020
8v, Not in universe,l,l, CldrPn,Not ihn univMerse, Never maried," Not in nuniv""rse os chPldre",+ No iB universe,<Wo'0e, A(l otker, Maler,VPNTot *i universe, Not in unii+erse, d=ldren or Armed Forces,MI,0,, Nonfiler, Not in univer1se,, Child <18 nver marr not in subfamily, Child under 18Tever mrried,2116.,,,, Not inN universe undr 1 year old,,>z, Both paCrents present, Unitewddtates, UniteStates, Un$ited-SHates, Native- Born in theUnitedh States,8,wNot in universe,7,,07,I97,-50o0
C, yN-t in universe,x,I,Q9)th qirad, Not in niverse, Aver m6rri, Not in univerjs9 or children, Not in universe,9Wh]ite, Mexican-American, M9l', )o i u_niverse, Not in universe, Children or Armed Forces,,ohDD,], Nonfi, Not iun unherse, Not in (universe, Househ\lder,+Ho:usehold'r,3'8b.7&, Nonamover, Noy[oer, Non(over,e2s, Not in universe,," Not3n ive""se", Mexic, United-States, United-States, ative- Born in the Uited S>ates,sf,,l,0r,o,^,-50Y000
33,O Not in universe,{v,(D0, High sch<ol >radu*ate, ot in uSniverse, Married-c{ivilian spouse present, Not in universe or children, Not fn unierse, WRite, Al5 khe, Female," cNot in uni""verse", Not in univese,,4MjG,*,g, Joint bot.h under 65,. Nott in universe,1Not in universe,' Spouse of householder, Spouse ofOhous+holdr,18.2~3,,,, NZt in;univerre under 1ynear old,,3,Not in univedJ, !nited-ta|e|s, <nite4d-S(taes,, Native- Born in the UnitejStates,0=&, Ntsin |iversm,,5M,c,95,-50~0
, Not in universe,XU~0i,), ChildrIn," Not i n univ""rse", kNlerP married, Not in universe or childr*n, Not in u<niverse,, AHl L hXeD, FDemalen,, Not in universe, ChildrFn or Armed Forces,0,J.V-,0,t Nn!faler+, #>t, Wes\. Virginia, CFhild under 18 of RP of unrel subfamil, No-relative of householder,348752,M)AvWo MSA, tiffere<;t county same state, iiffBeret county sme state, N8o, No,0e, Mother only preent, Jni|ed-States,, United-oSt+ates6, Native- Born n thPe United States,,,SL,=?,tv,91+,-5000V
y, NotD in uerse,A:6',0^, ChiilxdenL,zNt i] u:iverse, Nhever]ma^ried, Not in universe or children, Not inXuniverse, Whit{,BAll$noth6er, ZMal, <Not in univer+e,gotin unverse, Ch\idrenor Armed ForCes,Fv,%,0@, sNonfiKr, No in universe,, Child <18 nevEr ma{rr not in s2bfDamily, Child under 18 never married,2%75.61, ENoPnover, Nonmov|r," N,nm@ov`er",1 ~pes, Not in universe,U, Both parentsNpresent, United-Srtates, Unite-States," United-""tateis", Native- Born in the United States,C, -Notk in univ6rse,{0,p,,,-5000-
!jg, No in univeKse,@!r*,0I<, Child9e*nP, Not#nTunivoerse, Never m{rrieDd, Nob in univere or children, NotP fn nivere,Wh$c,All ot0Oer, Mal_e, Not in universe, Not in universe, Childreyn or Armed Forces,n^,i,, Nonfiler, Not n univer4e,, Child <1z never maKrr not: *n subfamily,,2u64.1,,,," Not in uniDerse und""er 1 yea ol[d",,, Both carent5sprLesenZt, Unit1ed-Sta ts, UnQted-S!tatzes, 2nited-State, Nat4ive- Born in the United States,"^S+,", Not  universe,|,G0,,95'7,-5000|[
0c, Not in uni)erse,,, nome caollege but no degree, Coillege or u nIveryity,` Nvermarrid, Nont in universe or chrldren, XNo in nivers,!W6himte, All otdsher, Male, Not in univ3rse,  ot inZunivers!,ChildreGn or Armed Fe orces,0,0X,<z,,, Not in universe, Childz18+ never marr Not ina %bfamily, Child 1y8 or older,971.9=, Nonmov8er, Nomver, ~nemover,es, Not in universe,, Not in =uniZ?erse, Portugal, Portugal, Portugal, Foreign born- Not a citizen of U S ,h,J Not in univerXste,sX,10,k,YS,{50X0
, Nt<ia unverse,0,0, %igh school g-raduae, Njt in unveYrse, Married-civilian pouse present,F Not in univePrse or$ cGildren,nNIot n uSiverse, W75te, Allw other,h`'M le,NoI n unixvese, got iL un(ivese, ChilWdren or$ Armed 3Forces,"m""0",>L,, 'Joint both 65+, \Not fin uiverse, Not in universe, Hoiseh8olde`m, HouseholaaeMr,{0I8N6, Monmovrx, }iNonmoveI, ZNonmver,  s,Nodt in unXverse,9, Not n universe, United-States, Uite-Stat<e,q United-Sates,,y,Nt in unSvVerse,(,,J,9,v 00003
fS13,L1 Not inuniverHZe,.[,,8MldreA, ot in universe, Never married,Nt i universe or chiHldren, Not in MuniXvers+]el, #hitj,, MTake, No i.q univere,Nod in'nierse, Cildren or ArmedJ Forces,,o?,}, Nonfiler,b ov vn uni|verse, Not in uniZerse, Child &<18 never marr not in subfamily, Child under 18 nevr married,125t1.2V,,,, Not in universe *under 1 year Cld,,GhS, Both parents present, United-State{s, eUnitFed-Siates,, Nativ- Born in the UnitQed States,, Not in universe,+0,^0,i>,95,:p0000
77, Not iH universe.X,V,0q, Some college butRno degOee,M Notin un5iverse, idowet, Not in universe @ childrejn, N=t inuniverse, Whte, Al> other, emRle,, ot inuniv+ese, Childre or Armed Forces,,1944,^[69, Singl~e,, Not in universe, Nonfamiily househlde,,28.22, NjoP'nmvr,QNonmover, Nonmove=,Q Yes,Not in univeNrse,,: Not in uni;verse, United-State,, United-@Lttes, ative Born in th/e UnitedNStates,0, Noxt in universe,_2,0,Xt,G<V,50050
"5,", PKivatEe,",#9",U^2, achlors degre(pBA ABBS), Not in universe, MKarried-civlianspouse present, Pe4sonal servi'es exept private HH,, Whit3, All other, Ma&D, Not in universe, *c in univer2e,# ChldIen o Armed Forces,k,"""M",,, Not in univers6e, ENot inquniverse, Householder," Bsehold""",98N.J9, Ionmver,3NZoooer, Neomov8erOu,YeH," ""ot in unKiverse",uB, N)]t in nQvegrse, nite;d-St=tes, Unied-States, United-Sta:es, native- Brn in tMhe<United States,F0/, Not in universe,,3p,a0~,94},c5c000u
.Og,YNot in unive@rse,Q,0,Childaez, N in unisvrse, Nevr married, Not in universe or children, Not in uni:vese, dtje,, MlTm,NoWg in unverse, Not in ul .verLse, Children or Armed F2orceR,0,i,, Nnfiler, Not in universe, NoVin niers , Child> <8never marr not in subfamily,,622kU0,,,, ^ot in Tniverse u+nder 1 year old,,^, Boh pdrentsipresenBt, Unitd-Stats,)United-Stat1ez, n_ited-Staes, Native- Born )in the United States,(0{, Not in universe,0,J,0,9,-=50vD00
Q,pNot En unierse,&8xM,,, Not in univrkerse, NXver married, Notin uGiverse or chiWldr&E, Not in un erKe, 3lZk, \Al2l other,&FYaJe , Not i;Unive]rse, Not in unive!rsLe, Children r Armed Forces,0k,,_, Nonfiler, Not`in univ%ersI, No1t i. univese, COild <18 never marr not in subfamily, Chi=dq undrT 18 never married,1138.09,,,, Not in universe under 1 year old,,k.cY, Both paretsD p+eent, Jamaica,, United-S9tates, NataivV^- Born in the United StateT,0,Not iqunivers4e,o,,W1,Mw,-50000
1?o, Not # univevrse,,E, hi<ldren," Not iin uni""verse", Nevr married, Not in universe od children, Nsotin unoiverse, Bxlac,8 Aloher,, Not inOunivqerse, Not in univ#Jrse,Hhildren or} Arzmed Forces,0#g,,, Nonfiler,NotP in uiverCse, Not in/ uVsNerse,, Child under 18 {never married>,<5*68,,,, Not in universe under 1 year old,,x,,, Uited-States,v United-State, Native- Born in6 the United Stadt>es,u , Not n universeJ,V,,,5,-500jZ0
y, Not n unitnves,P,s, hwYdYen, Not in universe, Neve married, Not in uynierse or childreqn, Not in univ[er'se, ter, OQther Spansh(,eMalle, aNot in undverse, NY in universe, Children or ATme_ Forces,<\,50,c,, Non Xn uivers0,x Nrt in unive+rseO, Child <18 never marr n%ot in s4ubfamily, Childunder 18 never married,391.08,,,, Not in univers e unde5 1 year old,,gL, Both parents present, olumbe,, Un ited-StaTte`sQ, Native- BorYn in the UnitedvStates,*, Not in uYiverse,c,_m,D0,9,500-0
(<5t,,[0,, 1yPth1 graue, Not in universe, Never marrid,, Not iC unigerle,WhiOVe, Asllther," Fmoa""m""e", Not ikn unverse, Not in ueniiverse,&hildren or Ar[med Force6s,,,0, oAfil4=, Not in u#Svezse, Not n univers, Child <18 never marr not in suFbfamily, Child under 18 n ver married,1025.9R,Nlonlover,6 NnzoReI, Nonmoer,{Yes,;Not Qin universeK,T,w Bot; parents present, Unit3d-States, UitedYS[a:/es, nitetate<s,Native- Born in the VUnited States,,9 Not in univerIse,02,,e,,
>, Private,IH,sL3,,N &in universe, Married-cifiian spousz present, Manufacturing-durable goods, Preciion prgoduction craft & pepair,7 Whte6,kAll otherx,, ]Yjs, NotKinTuniH}r`se, Fulltime she{ules,QI,D,?, Joint both uhder ;6-5,, Not in uniYere,Householrder, Householder,2/22I.57,,,, Not in bniverse under 1 year old,,5uB,. Not in univers, United-States, United-States,tqni$ed-S2tates, sative0- orn iB) the United States,~~ , Not in Puniversegl,F]7,,s3,y<H5,-5EN0@00
n1n, Not i uyn@iverse,,o, High school gradDate,, U$wed, dot iWn universe or children, Not Uini uLn'iverse, uWhwte, Alot2he, Femdle, Notin univ-erse," NoS"" in uniVrse", NotSin laAo forc._,h<,&kF,,SZFnggle,/NotRin unIwiverse,NoTt in  univehrme, Other Rel 18+ ever marr not in subfamily, Other relative o householder,1x8.5,,,, Not in universe unde+ 1 |ear old,,N, Not in univerxse, United-States, Unite-States,YUnited-Sa}es, Native- Born in the UnitedeState,[, ot in]uivers,?e},,},5.z,-50000
E7b4, Not in|x utnivers',X,"0,", Masters @deree(MA MS MEng MEd MSW MBA),Iot in uierse," Married-civilianF< s""ouse present", Not in universe or chilfdren,N_oft in u/niverse,, NiKr, al, MNot :s univers, No0 in Gnivere, NSo0\ in labor or<e,-w,gt,0, Nonfiler, Notziin uni*erse,, HoHusholder, Householder,119Uj6,,,, Not in universe under 1 year old,,0),,,"'""Baly?",, NaOnve- $on in the United SStates,, Not in universe,@,F,,9%,e-5000
, Self-empoy ed-incorporate,C,6i,11th3 H=grabde,," Ne{""rmarrvied",,, White, :l ot_her, F9mal/," N""t_in univer8g", .Not inniverse, Full$-t:mekscheodule,,',M,, NotM in uniRerse,"= N~ot in u,*iverse", 7Chil+d 18 never marr not <n subfmily, Coildhunder 1 never marrie-,803.49,,,, Not iKxn univer_se under 1 year old,,U, Both |%parents present,, UnitedS&ates8, United-S7ate, Ntive- Born in the United States,.,\Ntin univCerse,@,,K-,95,-5000
