age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
56,"Private,l",1F27264,Some-@ollee,d|,Married-[civ4-souse,Craft-rpair,|sand,EWhnte,:lp,0,ZE,34,United-States,<K.
V3,PriXa&4,3y36,soc-vhro,,Married-civ-spouse,Adm-cl2rial,WieE,lYc,Female, q?,%0,40,United-Sta6es,A=50K
V6689c,Private,20C73,HSgad,pg,epafpted,vAdm-cler:cal,Unmarried,\hite,Falel,XsM,,b0,UnCte:-StFates,<=50K
,KFede*ra-gov,4921,,D,DivorceS,Othe}K-srvic,"N11in-f,amily",Black,emale,:0,i;,:0,[ United'-tates,v<b<50.-
3I9-,hPgivate,7p66A,rchePlrs,;3,Married-ci-spouse,ThsXpport,Husbnd,hite,=oe,15024,"""",z,Uniteda-t7es,
2(C~4,PrA?!ate,694s,HS-rad,Z,N0er-mared,CrftD-r}_pai,Own-ckild,1WhLtX,Male,fnfi,,,ni^ed-StatUes,<=A0K
$~8,Private,4237Q16,Asso$c-voc,,Married-c}iv-s'pouse,Tekch-support,,,Seml,0,g,1#,UnitNdStIes,>5a0K
,3SQef-mp-in,E432,,10,,T1anspot-}mtvQing,Husand,,MHlEe,~,0+u,,Haiti,Q<P50rK
@7g,'PriKate,3112!8,kth,,Never-mKarri>Yd,Exec-maYonagria.,On-cYDild,VhiNIe,$F(e(ale,q,D,2|5q,nited-$tates,"7Vq,50K."
hS,,1\2604A,HSgra9,9,MagHrie/d-civ-pouse,Machine-op-hnspct,Hubynd,White,+a*e,,90,5>4,United-State-,<R=50K.
{37,Private,6725,HS-gaa,q,DivorJced,Sal%s,Not@iRfn-family,}Yht!,Male,T|,P,D,United-Staates,<=h0K
_3L,P|qivatI,^K3,Ba^helos,13,Married-civ-spouse,ales,Husbands,Wht,,N0,,z4.f,"Un,d-tates",>5B8.
BR,,",283",SmecollegK,(0,Never-ma7ri,Craft-repai^,UnmarrieDd,White,(El1e,,wB,N,United-States,"<=,5xK"
|,PwvUtQ,8897,o@S-g+aF,G,Married-civ-spouse,Craft-repai,{wnchild,Wite,(Al,$f,,,niteYSates,<=5K
,,192f257,S#e-colluese,1I0,Married-c-spous,,HN5usbaC,W9lit'e,CMale,,&D,f5(,Unired-S(ta+e[s,"zED0,."
21,drivXte,278254,HSYga,9,Maarrird-iQv-pouse,MachFne-op-inspct,Husband,,alm,u,9,o,UnidU-States,:c509d
27,1Private,*6631,HSr$d,9,U!Cr-mar@ied,Handlers-cl&ane(i,Own-chd,WshitC,Feale,z,uu,,U#ite-mState\,
^B,Private,Q876,,\Y,Never-married,,Own-crilJ,=,Fmwe,8],0}E,t0C,"nited--,States",{=50n.
,Prvawe,2n7509,oZme-collqge,,Neve]-3arried,eal,Not-inDfamily,,Male,f,0,,fUD{ted-States,'5K
c4,Priak*te,82049,H-gruad,,Mar3ied-cva6spouse,Craft-repair,HuWb@Wd,&hite{,,O,_,#>X0},Unit}ed-States,>+9Ks
4h,,R32684,H-!r{,X,M(Dried-_civ-spuse,,Wif5,White,FemJale,wQ51,,,,<=50K.
j%,?,25139,,1md,Never-married,?,Own^-]Gchwld,W*hi}te,\ma_l+e,= },-,40,UniFed-States,<='50K
20,XrivaDte,Q082,HS-grad,R,ever-arr?e6d,Handlers-cleaDers,,WNhteI,"Ma""l",0,,Hq,U.ited-Sates|,P=5
*?,Privaeu,O1680,[of-scbol,i5|,Dvo1cJd,Prof~4spectlty,Notin-fam'ly4,WEhte,8alT,3{,#},451,U.itee-Ugtate,>5U0K.
#H(2,State-goGv,791W51,0Some-college,Mm10,Married-}iv-spousfB,FrmngKfisPng,pHusba%ivnj,Whit3,Male,,Gu,4`0,United-StateW,<(=09.
J,Priatae,124744,^Soe-conllege,0,MaXrried-civ-spoPse,Prof-specialty,Oth/r>-relative,,Mz]l6,]N,,E0,Unitek-Sttes,<'506
G,SRlfrmp-nott-\nc,xF3136,HS-gznadB,,idowed,Exec-maKDa+gral,ot-i\nKfamqly,Wrieu,ale,,b,24,UnitedQStatcs;s,=5P0K.
!,Sta;ewl-govw,21|A3,Bacelor<s,Bxf,,Ad-cly~ica_l,dies,Whin:tM,FemaZje,s[,'b5,,U/ite-StNates,>50K
3r;w,rivt,h6X4,acheljqs;,9}3,Nvx-marriz|d,rof-specialty,Not-yi-fami\ly,WhIr~sit,Mavi[,,8A,40YD,Unite;-t^tes,<=[550
5x,LoCalwgov,,HS-gra,,MaSdriedSciv1spyuse,,Husband,White,,+&,,4q#m,Unitedd-Tatesy,
,Private,p89551,H[S-grad,,Mjarried-Yi6-spoE`e,Hadlers-leanerE,Hs an(d,W4he`,Male,",8pl",L,4m<&,UnZteZ-StatesA,y0br}K.
61,Pi)ate,90bK,Somyen-Kcollege,A8,DiTorced,Other-yserSvce,Not-i-amvily,;hite,em+%e,,<,,Unitew)d-States,<=5I>
W,7Erivate_,33l6v_,Some-college,1X!,RWidnwed,{Sa`es,Unmarried,White,Feele,I4&K,,2(,Un:ited-StJtes,=50K
3tg,Self-ep-not-in=,12w576,Prof^scolZx,$,MarrieTd-ci+v-spou=se,Pof-speciatS,Husba7d,Whitr,Max<,,quF0,6C0,UnitedStates,>0K
3;9l,PrvaRe,059@,,)g1,Married-civzspouLse,,Hu{Ksbd,W<|t,MLale,-0,0bQ,,Unitd-States,<=@y0K
2,rivGte,"""-014",Bhchelors,/j,Never-marnie|,E-xecf-managerial,,White,,x,,50,UUntes@-Stales,<=q0K.
57,,174X10,BaWhelors,XM,Mafrried-i7v-s-ouse,Prof-spPalty,Hsb`9md,,,,j,%{,Untek-ftactes,>.0K
C3,Pr{at,156745,"S,ome-(college",B2,0JarZied-civ-sptuse,Caft-repair,HusbT,Blac,Ma/e,W,V_,j,Uni(e-S3te_s,
p7?,.PriEtaOe,236Ng42w,Assoc-acdm,12%,Married-Yiv-spuse,Exec-majager.wal,Hu^bad,lte,MaWa,R0,E<r,2&,United-S9taleLs,<=50K
E2,,J1639,Prof-sclool,+5,MarrieM-civ-spouse,,Wzfe,WhitB^,Fema4le,150l24,8I,j,soU`nited-StatEsz,60K.
3ACo,Svat,19ri(,SomecolhleO,0,,Exec-man~gerM,NoVt-i-fawmil&y,Wh*it_Z,"""Fhmale",0,?,,UniUtJed-States,>50Ka
2Df,?,13R6,octorate,(&],Married-civW-spouseF,?,Yubadpk,zft,Male,,$,5t0h,UniteB-#tates,>$+
90,Privat,1rZ7W,Z{hp,,N+eer-ars5ried,TAcd-clerical,Nt-in-fmiulyz,FitO,Fe`leo,,03,Nt0,Unted-States,<=50K
^WR3,StategoR,,S6me-college,,Marrnied-civ-spouse,Protective-serv,Husa[an_d,Wit,MOle,,KL,^8,United-States,<E50K
h2,P8(iatt&,,,2 1,eparated,Sle,Unmdarrie/d,}ack,Female,@,#,_,United-SQtVs,<=g5j[.
%5R,Private,3e29,O2th,^,Married-ci%v-spouse,r~aft-repaz7,Hfsband,"h,-C",MagSe,i,,41F0,,=OGK
<j,,7p43h95,M#sters,@4,Married-civ-spose,Prof-sMpecialty,usa#k,White,MSleD,,0{,H4b,Unitd-States,>5K
3w2]u,P}rivBQte,+651,,,Married-civr-spouse,Cra/ft-Yrpa6r,Husbrand,Asia_n-Pac-IslTdr,/e,,1,g4>,UnitedcStates,<f50K
5Db5,PrivatYeN,17,xome-coegRe,,,SlHs,Not-n-amly,Whit,vmale,0,yC,/U,United-Scates,<=50.
62,State-goUv6,63b0,Bachelors,1[4H,Mar$ried-civspouse,Prof-specity,Husban,Whte,Male,,,$,7Onted-Staes,:50K
5\3Q,PrGiKvaUte,,HS-graG,]*,dd:owd,BTech-suprt,,White,,,P~4,xEp90,United-Sta1es,>0Ko.
2:69,riva}0,u788,7thQtF|,e,DivtrAe,thxerse >ice,No@-in-Qfmi>y,W}hit,=sale`,,K04,,,^<=>5pK
41@|:,Private,32YUdH,H=Q(a[,k&,Div'vorczd,DherC-servicZ,Not-n-family,WhKV\te,*,,,<V,United-States,<=y0K@
,rivae,N6357I7,Some!collesg,3wFv!,Never-mjarried,Oter-serice,Not-in-famile,,Female,_,,,nited-Stassy,(<=\K
A39<,"rAiv?a,e",,"gSg,ad", ,Married2-civ-sbouose,Craf)t-repair,Husbanad,,Mal,e,:,mh,Bnited-States,<=5J0K.
9,Pri=te,`55559,Somye-olBegp,0,Marnied-civ-spose,Adm-clericl,WipQe,hi7ye,Ftesbag,!,,4P,Uited-SaRFtes,>0K
{33,PUrivaLt*,G07rP,12tj,p 6,,Craft-rep]air,nmrpriGd,Wh}ke|,"2a""le",t0{x,s\,l,Unie-States,<~50.
23,PM_7va~t<e,21;2&3,zSR%-grad,,Never-married,Adm-clericaXql,Not-xQn-famil&,-W,FeSm3alKyC,IQ,H*#F,4(0,nited-States,n(50K
,Self-emp-not-inc,3]4gW24,,E,ever-jarrie,Prof-specialty,Not-in-family,vWhitX*,Plg,I,I;0,k93,United-States,>50K.
5C,Pr`{vate,",75Y",HSDgrad,d1,"Eegver-mar,ied",Adm-clerica9l,Not-in-fam1ly,White,ae,'Q,a,XF4,United-States,?=50Kxv
,P%r$ate,2404,v,K,MxrriFEd-civsouse,Ha]ndlerscleaners,mHuUsb@ad,W-ite,MFale,,,40,United-Staes[,<!=50K
1,Pr2ivatHu,1`25cu],Bachelors,1{,Married-civ-spouse,Exec-maanageriavb,|ubnd,,Gle,,0,,?,50|
,Self-emp-inc,1z09,BchelY,d3,Marred-civ-spouse@,,,,Femle,Q429,<,'~,,>50K.
32,LocZa-gov,1589^3,A@c-acdm,JNK1,Dvore,Exic-m!anaceriabl,N-ot-n-faEmil/,n[l;ack,Fem|le[,w4'j,`(,O,Unite-Sttes,l<]=50z]K
49,PY%rivt,",183j",@S-gr(Ld,,Married-civ-spou)se,Farming-fishing,HueFb~and,WL|ife, Ml,0N,0+,0*,United-StateU7,y<250>
FI,,,S;omecoXl[lefe,/,WAdoe\,,NoD-in-family,kWhite,Fmndle,,Q,,Uit-StatW,=5hK.
,Sat(-bgZ,1sg9915X],HSgra#dw,[)%,Nevr-maried,,Ownchild,W:hte,Female,B,$0{,21o,Unied-jSates,1<=5IK
,FedZ.eral#gov],1R89)4-,Bachel3s,13Q,Married-civ-spouse,,WifOe,Aiane-Pac-Is+ltnder,Female,],0y,sFN,Phil+ppines,>R2-
54m,PNvate,"88,36",Bacheors,,ivorZedR,SQCleys,Not8in-family,.xt),e3mal,,1408,"""m",,<=50K
/2.,?,32227$6R,Bachellorps,,Qar)e`-civ-spuse,?,HusbMvd,Whi:te,,ay,T,"4""",[Snited-Sed9tes,=5>
R,Privatd,,HS-gr0ad,:,Ma=riedm)iv-spouse,SlNe,iusbandO,4BlackD,ae,(0,|0,Q0,UnWitd-Stats,2<=50K
1,,%20q32,Hzgrdx ,l,MNrr~ed-c*iv-sorse,txec-man@gerial>,,Mhie,MD#e,, ,l,United-St%t.es,3p>50
4u,PrvacWte,46743,Some-cDo+lleY,E1FR,MarYried-civ-sp4oue,Prof-speci+lt,Wi4Ee@),WhgiCtwex,FXmalS$e,,",0",25h,,=570.
4G,P*rZvZae,8677,A8ssoc-voc,11,,Crtaft-repair,Not-in-fa?maiF,a;k," aql""",i,U*2,o0,cUnited-xt*aies,f=50K.
6,PriIa+e,95w:p,SomeGcolege,U0N,DiKorcOed,Prof-specialty,on-in-famjly,Agie,H+l8,oqX,Wm$0,5+0,UnitedV-States,<$=5XK
29Y,Private,5176'7,,,DvJorc=d,decTh-sPupprt,,Bla6k,Mae,143Kx,,+p0,,>50_
198,Priaxte,39y\26,S-g#;,<,WNcver-married,,,,ale,a,,,UncitedxS_{tates,Ti&50K
2\5,riPNte,35032,,},MarriedL-cvspouse,Csat-re:air,H[sband,,Mape,0O,e0=,y,UnitedStates,<5U0K
8-c,PrivatKe,{t6947s,10ith,,MQar?8eD-civ-spouse,Rrming-fishing,HusbaLd,Whie,MZHale,),F;,450,United-States,=00.
T2-(`,Privat',1f25Y19,HS-rad,"""",Ne2er-8mrried,andlels-clea}rs,Own-child,WhBQi|,M>alR,0?G,0,Q,U8i9tedMStates,<=5cK
,Priv#t3,721f6_a,,3pg,Sepaated,tgachine-op-insct,INo-invfamil-,Back,aale,,5v,40,United-tates,=70K
18,Lclov,1 9*5,mt,,Neve r-married,Pr3@tYectiv6e-serv,Own-ehild,WhDtX,v.ne,,"0?.,","),4Ec",United-States,<=5
1,ria?te,130389,k317<>h,%;,Never-married,rOt[er-rvice,O-child5,White6,,0h,x[I,,Scotland,<5G?
l,rvau,2986>09,Assoc-Ic|m,~,Married-civ-spou1se,"xec-""malnagriaz",Z[Kbnd,2hite,Mapj,"g""",<,k,Uni)td-State,">5K.,"
17,Privat,L75y09,1r1MhSH,T,eeryarrid,,OVn-0ild,(ited,,,0Rf,gl2W>,Uited-`taXpes,s<=0i.
,Priate,19j981),HSb-gr3ad,#,Married-civN-spouXsx,TraEsport-einu,Husband,=hite,Ma(le,w,Q,5|0,Umte-Statei,>~5x0K)
3V,State-gov,Zw0=509,HS-^d,,ivrc(a,Other-servi^e,9o->in-family,$aX,+He6ale,Qw,c,C,U^itZd-Stat?Xs,<=5B0V
V2w7,(rivate,2b8736,5th6th,`,Married-civ4-spouse,CrLat-reai,HsbSn+,White,a,~K,,,Mexico,",g=5K."
5,+Selfempic,7K6NyH4,k_H%S-grad,A,Married-civ-0spouse,Exec-mnageial,Othe9-rela#ive,Asian-Pac-tslander,,z,,21,inN:a,B<=5K.
V7,Sllf-ep-inc,"18160,8",Jr0th,,Never-married,Syalsm,IO/;Dchild,hmit},Mal,A,,Z,IUnited-States,Ki<=50
~3UT,Prvat,3379S08,"S~oe-;co,llege",,D;vorcSd,A)d-cleripcaT,Znmarrid,,Femae,",0",1,30,"Uited-Sta""sesC",]=50.
31,iYvt,2516,Bachelors,Y,Om<iorced,E/ec-mnager9ial,Unmarried,)it,FeImald,U,z,4W%!,United-Syates,o501z
`40,Pr1xFraVte,1817[,om]collee,10,Nzever-mar\ri_ud,Other-service,Own\cxhild,ODlack,WMal,dr,-,40T,Ui[oed-SHateX,<#=35p0I
AM@,Pri#=t%e-,16559G9,HKSR-@graJ?,,Marrihed-civ-spouse,l!,Hub\8nN,Yhte,,a5:6,"qV0""",Y,United-Sptat0es26,
,Pria:te,118lgZ,,i,,Machine-op-inspct,Not-in-famil91,Black,8ale,,E4,50,United-Mtates,<=5h0K.
n2,rvt,21l1|0,'11,"B,",Married-civ-spouse,Other-service,Husba,WHh|te,Malbe,y,0,,^ited-iSt*es,<50qm
`p,Self-ecmp-otinc,16~*5442,Some-co@lege,,Marrimd-ci-spuse,Cr2af-re:par,Hus/aBd,White,a+,51,f,4gE,Unie;dk-Sates,>5~0K.
C#7,?,152569.,Assoc-vomc,11,WTioIW,?,,Whit,F.malO,xb,2339,&3HH,UiteV-NStaLtes,<`50'
Dr,Privat4e,13F4F41,HSgrad,~F,NeveAX-marri-d,Otherlservice,Own-chi/ld,gl.a<k,,,,,Unithd-Sta<es,<?0K
,,4r73165,achelr,-A3;,Neer-marOi}7,Prof-spelcialtyC,Nn-cld,'[ack,emale,,,p,UiteL-Stawbtes,<~W=50K
6,PSrvat,1Y0435,nH'-bdgrFad,?n,Married-civ-spcousYe,AdR-cSe ical,Husband,W8ite,0alEe,,,p<,Unitd-States,>450K.
ntb,,190273,HS-graI,,N#ve4smarrYied,Potectige-s\rv,No3-inwfmmlyw,W{hMte,bU6le,(A,0@,_0,UnitPed-)States,<=5yK
Gz,Self-emp-net-inc,713Z#,BTche;lors{,"""3",Married-civ-sGvus,SvRF,,Shite,le,,,9-,Unitd-S_tates,>5^0K.
gx,$rivte,,Bachellors,Oj.,Marrie-civ-souse>,Eec-managerial,Husband,,Male,R%5X2_,+,MP!,United-States,>jQ5/ZK
)5,Priat',360814,?y,5,DivXced),Caft-repair,NoAt-in-famiy,-Whit3e,,0&,0N,yF5,UZnit3ed-States,<=50K
53/,dcPivate,Y72}5S8,0JthM,,arried-civ-spouse,Crafh-rb;pair,Husbknd,White,Fe,%>},[,c?-D,znited-Stajtes,
W,MPrivaZe,11n387,10th,{H,Neven-maHrried,C2aft-repair,,Whi(te,M2,U,,V[,Un5te:States,
K84,?,20}47d,B1achelors,,Marrixed-ci v-spouse,?,HKbadm,,Male,&_,M,,UniZd-Saate$s,5=60 ;K
,Prite,1\0%3C|34,HS-r5a,C,Di4orced,Adm-clerim,Not-in-family,\io4,"[.,e",h,'[9,3@8,Uni+N>Jed-S1ates,CV0K
3!,ivote(,/28u2173,Som|-ollee,L,Married-civ-spouse,Crafgt-repai,Husnd,5pWh9]eB,gM6le,80,A,,8xico,<=5Wn0y1.
z,PrivHate,O6t9Z49,HSrqad,g/,Mg'ied\civ-spouse,MaciinAe-op-i)nspct,(wusbd,,4l),vhW,fz,f5,Unie-rtte,o=50#.
z,,,Some-college,,WidT?owed,Sales,ot-i-family,White,FAmale,^I,',3V4,Unite7w-Stat<es,<=50}
57,PSiPpte,103403b,5Xh-6th,,Marrie-civ-spouse,Tranpo~tmwo%ving,0Hsbnd,Wh0ite,"N""e",,,",A",UnoTedK-States,<8=5K
,Private,2&B0H,HS-grd,m9,,Iuthr-service,N-ot-in-familAy,Whit,F{mae',;w,,,,<=0IK
54->,Pricate,377D70,,9k^,Marrie5d-civ-spouse,O>ther-service,Husband,,;al,?%,L>,,MFexico,j=50
6U,Self-ump`not-in.,,c^S-gradN,C,Married02-civ-spouse,,,Whit@e,Femae,D(,0,4-0,United-States,<=0-K.Pm
8%8oY,?,,HS-gr d,N,Nver-mrriedi,?,Own-child,White,Lemale,,},yf,UniteV-States,
40R,rivatk,2Y35o786,Sohe-co5iege,Y0,Married]-civ-spouse,Crafts-repair,Husand,Wh\ite,Ma@e,,jy,GL,UiteO-Sttes,:>0%6K
6,,.2N@3230,Ma(st0/rs,weL,MarMieds-ctv-spouse,,#Hds*)znd,$ht,b,,2*,4JR,1UZ7Mited-States,>5KC.
2,Qiv,206354,HS-grad,},NeYer/-mrriUd,Other-sr)e,UnLmarrxed ,]l,Female,"1""",g',3p,Uni2ed-ttes,
V:,b[rifv4te,240458E,s1%1t,D,"9""voced",Cmaft-repir,NJotin-fmamily,y9Blac1,,09h,C30,p,8nit*eXd-St(ates,
V65M7,Prai2vate,133126,Some-cllege,0,NAvner)arried,Craft-repair,Not-in-family,B@l=kw,Fem 6le,v,,,U/itd-Stutes,<=5OK/
,rivaDe,104052,HS-grad&,[,"Neer,marr;ied",6achine>op-i's?ct,Not-iu-family,,,0,1741,}.,United-States,<=50K
7I,F7ede|rl#gov,rB3892,HS-grad,"9m""",Maried-civ-spouse,3Tech-support,HLus)and,White,=dMale8,s,1887,,United-St4ates,>5:=
3C5,,y29,Ba+helor)G,13,arried-civ-spous,tfxec-managerial,HbanOK,Whi(e,a=e,v,1U8,45,United-StaKes,>50K
3r9,PJivate,779j574,SomI-college,e3,Ne2ver-married,Sales,OwMC-c0O5ld,White,ioal,JN,u|,35,United-States,<=50KQ
!\30s',Pivq[te,1930823,Som-olege,10,ever-ma*Iied:,Oher-seaF{vice,O6wn-chid,BlW>k,Fwme,^T,A,C40,United-Staqtes,
,,y33937,Bachelos$,,Mhrried-ci<rXpo/use,Ad>Y-clerca+l,x.ubqnk,,,Jk55v24,p0,]/&,Uitx-Statos,>50K-.
l,Pvae,,HS-grad,,Marriedv-civ-s$ose,Caft-repar,Hsand,WhBte,Male,GM,;#,V,Unived-States,>50K
9H,Pr)%v]]e,O93q=,HS-gPFad,Yz,Neve;-married,C_raft-repai,,hie,Female,H!,d,,U<nited-States,
35,Private,,A1ssoc-acO(m,[2,Dvorce,AdOm-cleical,Unman~Bqed,,wemafl,0,6,"3<,K",United-'tates,<=5K.
8,Privte,3397,XBawcheors,17R3,MaXrid-civ-spouse,echesupport,u8and,Wh,MaleOA,,0,$~5,Uite+-Mtatzes,<=5W]K
4e,xelfemp-not-inc,37547w$,1th,"""x",Married-civ-spouse,#lCrwft-re]ar,{Husband,r$_ak,aOe,)XJ,0,,*aiAti,=50BK.yF
3,]rivate,4152*,HS(2zd,95,Married:iv-spouse,,Hs*Zvd,,Malle1,,0,4+,nited- 'States,
",xs33",J*c<l-gov,,HS-vrad,,Married-cZiv-spouse,Caf-repair,HWsndx,WhqMZW,qeble,(,UU,?,nXited-StatI,>'50K
7,]lRf-emp-notA-inc,$364,"Ba""chlAlrs",13,Married-civ-spuse,avminG|fzshing,Hu6bvFd,rWhiteA,M!ale,eSw,,',,<=50K
2;5`,Pvria,99179,1th,,Wido8ws,AdmLdderial,UnbW<arrciedP,cite,F;zQmale,0,A m,,%$ited-SAates,C=50K
O[,PAvwan2e,3_530,HtS-jrJad,c9,,Dher-servic,Unmarried,Amerz-I2dian-skimo,eale,k,IS,,"Un)ted-SmBte""s",<=0K
2fn2,,6627,Some-col ge,1],Never-m3rried,,Owu-ch!ild,AsaJnxPac-IalandeR,Ma,dI0,1,20n,United-States,
 ,Lowca-g>ov,1416;P7,M3aster,1N4,/#ried-civ-spou1,Prof-specialt,,W5:it,MlY%,0,,[40,UniteJ-States,>5~%
?,&rQvate,152307,H/-gbd,YZ,Married-civ-s&poNuse,AdP-ceria,muwsand,*Ehie,ae,72a8,5e,55:,UnKizedtaAtes,
6<,Prj~ae,`0d927,t7th-8th,Mh,Married-cv-spouse,TransportmovnI,HuDsG}bad,W2ie,"Ma,Ae",+8j,0R,,United-States,
Z3,Private,107302,"Mast!,r",14,M<arriedciv-spouseJ,S'sV,"Hus""bWad",hWite,MUae,,0T,X,IOua,<=50K
VDi19,?PrvMaLte,18/1,10th,_,NeerOmrridj,Handletrs-cleaners,Own-child,,MVe,P,,g+B,,=X06
0,b;rivt,983`,"H""S1r8aqd",,"Divo""ed",CEaft-ep+ir,Not-in-family,White,Male,i^X,~0#D,j5,unitey-XS9ttes,\<I5
5?3$Z,,27W471,Asoc-oc ,c.1,Marie?-civ-spouse,TWsh-support,-Huba,White,Ya,l,kgWk,,Unhed-Sttes,
5,Priva>e,9a126o,HSl-graG&,,Married-civ-spouse,Tran3ort-oving=,2ua\sad,Asian-PacIsla`nder,",Ma#",b,Y,v,United-States,
,Prinq%7,[7293,Som@-colleo,0,Never-makWied,Ex=c-managerial,Own-hild,Whi t,|m; e,U1,,Pv,United-States,^<=5K
3:,rit:e,181165,S-grZad,,Dzv_ce6F,,Nottin-3family,,Female,0,;1+4,E,UntedSt.tets,<=0KX.
3*0;:,Private,,Bachelors,q%{,Married-cv-spAuse,nS8al(eYs,,Bik2,BMal5,x,,x9,Uni)Tt/ed-Stat|s,5Q0K
84;,Griva?,1/478,HMS-grad,(,Married-civ-spouse,kCXaft-Cepair,H_tusban/,ID+ite|,QZale,88x,}~dn,5D,U/nitezStRtes,x<=50a
=LW,,^M475113T,Qomecolleg\e,10,Never-arri>d,Adm~cleril,Not-i2-family,,Fealeza,^0J,,40q,UniaedB-States,
DZ,Private,7561C9,HS-grad,9,-ivo<rced,TransTErt-movin,Othe]-rqlaive,White,Mq3l0s,:eX,Nmw 0,;/,United-States,<=50K.
 }@3},Self-emp-not-inc,3121##97,H-graMd,|Im,M/aried-civ-spuse,TAansport-moin7g,HKussb_d,Whge,M'le,0,s,,Mexi8c,>5!K
&T4,,,BiachZllorB,1h,Nemer-vmar_riMed,Prof-?pecialty,Notdin-family,Ba)8_k,Male,pxgz,*b,{4T0,nited-States,"<""=5K"
